prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,update_date_dt,create_date_dt
GBFK01,TSA,,INV,Conus sp. n. 1 NP-2014,PRJNA246256,SAMN02746121,strain: MA071112BO,tissue_type: foot,774,4,4,Yes,2014-06-16T00:00:00Z,2014-06-16T00:00:00Z
GBFL01,TSA,,PLN,Vaccinium macrocarpon,PRJNA246586,SAMN02739898,cultivar: Ben Lear,tissue_type: leaves,33379313,48270,0,No,2014-06-09T00:00:00Z,2014-06-09T00:00:00Z
GBFM01,TSA,,VRT,Micropterus floridanus,PRJNA248150,SAMN02787188,,,163252690,164417,0,No,2015-04-29T00:00:00Z,2014-12-12T00:00:00Z
GBFN01,TSA,,PLN,Paeonia lactiflora,PRJNA245064,"SAMN02731429,SAMN02731468,SAMN02737857,SAMN02743502,SAMN02743503,SAMN02743504",,,64413725,51481,0,No,2015-03-25T00:00:00Z,2015-03-25T00:00:00Z
GBFO01,TSA,,VRT,Micropterus salmoides,PRJNA248433,SAMN02798507,strain: F1,tissue_type: Mixed,124295732,121819,0,No,2015-04-29T00:00:00Z,2014-12-11T00:00:00Z
GBFP01,TSA,,ENV,marine metagenome,PRJNA241185,SAMN02768558,,,136502473,167169,0,No,2014-06-10T00:00:00Z,2014-06-10T00:00:00Z
GBFQ01,TSA,,VRT,Oryzias melastigma,PRJNA246584,SAMN02768383,,tissue_type: liver,39993655,51515,0,No,2015-03-12T00:00:00Z,2015-03-11T00:00:00Z
GBFR01,TSA,,VRT,Oryzias melastigma,PRJNA246584,SAMN02768384,,tissue_type: liver,51171978,54342,0,No,2015-03-12T00:00:00Z,2015-03-11T00:00:00Z
GBFS01,TSA,,VRT,Oryzias melastigma,PRJNA246584,"SAMN02768383,SAMN02768384",,,69457421,66755,0,No,2015-03-12T00:00:00Z,2015-03-11T00:00:00Z
GBFT01,TSA,,VRT,Oryzias melastigma,PRJNA246584,SAMN02768386,,tissue_type: testis,105465023,89361,0,No,2015-03-12T00:00:00Z,2015-03-11T00:00:00Z
GBFU01,TSA,,VRT,Oryzias melastigma,PRJNA246584,SAMN02768382,,tissue_type: brain,147414908,113037,0,No,2015-03-12T00:00:00Z,2015-03-11T00:00:00Z
GBFV01,TSA,,VRT,Oryzias melastigma,PRJNA246584,SAMN02768385,,tissue_type: ovary,83016993,69934,0,No,2015-03-12T00:00:00Z,2015-03-11T00:00:00Z
GBFW01,TSA,,VRT,Oryzias melastigma,PRJNA246584,"SAMN02768381,SAMN02768382",,,233573349,191827,0,No,2015-03-12T00:00:00Z,2015-03-11T00:00:00Z
GBFX01,TSA,,VRT,Oryzias melastigma,PRJNA246584,"SAMN02768381,SAMN02768382,SAMN02768383,SAMN02768384,SAMN02768385,SAMN02768386",,,310261690,238084,0,No,2015-03-12T00:00:00Z,2015-03-11T00:00:00Z
GBFY01,TSA,,VRT,Oryzias melastigma,PRJNA246584,SAMN02768381,,tissue_type: brain,165350348,132231,0,No,2015-03-12T00:00:00Z,2015-03-11T00:00:00Z
GBFZ01,TSA,,ENV,marine metagenome,PRJNA241185,SAMN02688800,,,129634825,172655,0,No,2014-06-10T00:00:00Z,2014-06-10T00:00:00Z
GBGA01,TSA,,VRT,Micropterus salmoides salmoides,PRJNA248127,SAMN02786862,breed: Northern largemouth bass,tissue_type: Mixed,205634360,223958,0,No,2015-04-29T00:00:00Z,2014-12-11T00:00:00Z
GBGB01,TSA,,INV,Orius laevigatus,PRJNA191591,SAMN02767604,breed: MET in-breed line,tissue_type: Salivary gland,40346,63,0,No,2014-06-16T00:00:00Z,2014-06-16T00:00:00Z
GBGC01,TSA,,INV,Limnoperna fortunei,PRJNA248620,SAMN02261470,,,36052848,64494,0,No,2014-07-31T00:00:00Z,2014-06-03T00:00:00Z
GBGD01,TSA,,INV,Panstrongylus megistus,PRJNA249079,SAMN02808717,breed: Brazil,"dev_stage: adults and fifth instar nymphs,tissue_type: salivary glands",5355622,3702,3702,Yes,2015-08-04T00:00:00Z,2014-06-16T00:00:00Z
GBGE01,TSA,,VRT,Oryzias melastigma,PRJNA246584,"SAMN02768381,SAMN02768382,SAMN02768383,SAMN02768384,SAMN02768385,SAMN02768386",,,258716894,237625,0,No,2015-03-12T00:00:00Z,2015-03-11T00:00:00Z
GBGF01,TSA,,PLN,Nicotiana attenuata,PRJNA223344,SAMN02378603,,,59543859,90466,56,Yes,2016-04-19T00:00:00Z,2014-11-19T00:00:00Z
GBGG01,TSA,,INV,Themira biloba,PRJNA218740,"SAMN02352649,SAMN02688917,SAMN02795968",strain: wt,,32518167,23280,0,No,2014-06-12T00:00:00Z,2014-06-12T00:00:00Z
GBGH01,TSA,,INV,Polypodium hydriforme,PRJNA251648,SAMN02837860,,"dev_stage: day 1 extended stolon after emergence from egg,tissue_type: whole organism",26701511,24516,0,No,2014-10-22T00:00:00Z,2014-08-05T00:00:00Z
GBGI01,TSA,,INV,Kudoa iwatai,PRJNA248713,SAMN02800925,isolate: KIW-1.11.2010,"host: Sparus aurata,isolation_source: Water",30048324,22174,0,No,2015-12-16T00:00:00Z,2015-10-19T00:00:00Z
GBGJ01,TSA,,PLN,Allium cepa,PRJNA238142,"SAMN02445054,SAMN02445058",cultivar: CUDH2150,,100274014,128597,0,No,2014-06-16T00:00:00Z,2014-06-16T00:00:00Z
GBGK01,TSA,,PLN,Cocos nucifera,PRJNA244711,SAMN02728054,cultivar: dwarf cultivar,tissue_type: endosperm,39851917,56508,0,No,2014-11-04T00:00:00Z,2014-11-04T00:00:00Z
GBGL01,TSA,,PLN,Cocos nucifera,PRJNA244711,SAMN02728104,cultivar: dwarf cultivar,tissue_type: embryo,38002737,60762,0,No,2014-11-04T00:00:00Z,2014-11-04T00:00:00Z
GBGM01,TSA,,PLN,Cocos nucifera,PRJNA244711,SAMN02728105,cultivar: dwarf cultivar,tissue_type: young leaf,25483960,36582,0,No,2014-11-04T00:00:00Z,2014-11-04T00:00:00Z
GBGN01,TSA,,PLN,Ceratopteris richardii,PRJNA248887,"SAMN02803864,SAMN02821161",cultivar: Hn-n,,169020652,150097,0,No,2015-07-07T00:00:00Z,2015-07-07T00:00:00Z
GBGO01,TSA,,INV,Eurytemora affinis,PRJNA242763,SAMN02798133,,tissue_type: whole animals,143733589,138088,0,No,2015-07-07T00:00:00Z,2015-07-07T00:00:00Z
GBGP01,TSA,,INV,Clytia hemisphaerica,PRJNA198775,SAMN02055995,,,514379,373,339,Yes,2014-09-19T00:00:00Z,2014-06-16T00:00:00Z
GBGQ01,TSA,,INV,Schmidtea mediterranea,PRJNA252663,SAMN02854366,,,46164330,68049,0,No,2014-06-25T00:00:00Z,2014-06-25T00:00:00Z
GBGR01,TSA,,PLN,Punica granatum,PRJNA231033,SAMN02803728,,,54774396,65353,0,No,2014-09-08T00:00:00Z,2014-09-08T00:00:00Z
GBGS01,TSA,,INV,Dosidicus gigas,PRJNA181271,SAMN02853062,,tissue_type: squid sucker,16782,21,21,Yes,2014-07-22T00:00:00Z,2014-07-22T00:00:00Z
GBGT01,TSA,,INV,Sepioteuthis lessoniana,PRJNA252555,SAMN02851314,,tissue_type: Squid Sucker Ring Tissue,6135,8,8,Yes,2014-07-22T00:00:00Z,2014-07-22T00:00:00Z
GBGU01,TSA,,INV,Sepia esculenta,PRJNA252556,SAMN02851315,,tissue_type: Sucker Ring Tissue,8518,9,9,Yes,2014-07-22T00:00:00Z,2014-07-22T00:00:00Z
GBGV01,TSA,,INV,Polistes metricus,PRJNA242774,"SAMN02712421,SAMN02712422,SAMN02712423,SAMN02712424,SAMN02712425,SAMN02712426,SAMN02712427,SAMN02712428,SAMN02712429,SAMN02712430,SAMN02712431,SAMN02712432,SAMN02712433,SAMN02712434,SAMN02712435,SAMN02712436",,,54810859,74517,0,No,2015-02-18T00:00:00Z,2014-06-25T00:00:00Z
GBGW01,TSA,,PLN,Symbiodinium sp. A2,PRJNA237994,SAMN02640262,isolate: ITS2-A2; clade A,"host: Zoanthus sociatus,isolation_source: Caribbean region",22952966,57938,0,No,2014-06-25T00:00:00Z,2014-06-25T00:00:00Z
GBGX01,TSA,,PLN,Phytophthora cactorum,PRJNA242795,SAMN02709058,strain: 10300,isolation_source: diseased strawberry,24178687,21662,0,No,2017-01-04T00:00:00Z,2017-01-04T00:00:00Z
GBGY01,TSA,,PLN,Paeonia suffruticosa,PRJNA208873,SAMN02208113,cultivar: Luo Yang Hong,,347422,371,0,No,2014-06-24T00:00:00Z,2014-06-24T00:00:00Z
GBGZ01,TSA,,PLN,Solanum melongena,PRJNA247728,SAMN02777982,,tissue_type: fruit,132832610,121454,0,No,2015-10-28T00:00:00Z,2015-10-28T00:00:00Z
GBHA01,TSA,,VRT,Pampus argenteus,PRJNA231118,SAMN02440169,breed: silver pomfret,,50527648,30339,0,No,2017-01-04T00:00:00Z,2017-01-04T00:00:00Z
GBHB01,TSA,,INV,Teleogryllus commodus,PRJNA252786,"SAMN02863001,SAMN02863002,SAMN02863003,SAMN02863004,SAMN02863005,SAMN02863006,SAMN02863007,SAMN02863008,SAMN02863009,SAMN02863010,SAMN02863011,SAMN02863012,SAMN02863013,SAMN02863014,SAMN02863015,SAMN02863016,SAMN02863017,SAMN02863018,SAMN02863019,SAMN02863020,SAMN02863021,SAMN02863022,SAMN02863023,SAMN02863024",,tissue_type: brain,199835063,80464,0,No,2014-11-04T00:00:00Z,2014-11-04T00:00:00Z
GBHC01,TSA,,VRT,Salmo salar,PRJNA253115,"SAMN02867526,SAMN02867527,SAMN02867528",,"dev_stage: early and late parr,tissue_type: mixed",46151030,44830,0,No,2014-07-22T00:00:00Z,2014-07-22T00:00:00Z
GBHD01,TSA,,VRT,Salmo salar,PRJNA253115,SAMN02867527,,"dev_stage: early and late parr,tissue_type: pituitary gland",18951801,23554,0,No,2014-07-22T00:00:00Z,2014-07-22T00:00:00Z
GBHE01,TSA,,VRT,Salmo salar,PRJNA253115,SAMN02867526,,"dev_stage: early and late parr,tissue_type: brain",24761960,22954,0,No,2014-07-22T00:00:00Z,2014-07-22T00:00:00Z
GBHF01,TSA,,VRT,Salmo salar,PRJNA253115,SAMN02867528,,"dev_stage: early and late parr,tissue_type: olfactory rosettes; hypothalamus",10644862,15410,0,No,2014-07-22T00:00:00Z,2014-07-22T00:00:00Z
GBHG01,TSA,,PLN,Calotropis procera,PRJNA251916,SAMN02843192,,tissue_type: Leaf,170759924,104184,0,No,2015-03-26T00:00:00Z,2015-03-26T00:00:00Z
GBHH01,TSA,,INV,Euprymna scolopes,PRJNA253571,SAMN02872840,,,2704271,5048,0,No,2014-09-12T00:00:00Z,2014-09-12T00:00:00Z
GBHI01,TSA,,PLN,Camellia oleifera,PRJNA239933,"SAMN02892969,SAMN02892970,SAMN02892971,SAMN02892972",,,35690654,84162,0,No,2014-08-28T00:00:00Z,2014-07-22T00:00:00Z
GBHJ01,TSA,,PLN,Withania somnifera,PRJNA223351,SAMN02690836,,"dev_stage: Vegetative phase,isolation_source: missing,tissue_type: root; Salicylic acid treated leaf tissue; In vitro grown roots",119120515,73511,0,No,2014-07-28T00:00:00Z,2014-07-28T00:00:00Z
GBHK01,TSA,,PLN,Arachis hypogaea,PRJNA251584,SAMN02837507,,,14948761,22131,0,No,2015-01-05T00:00:00Z,2015-01-05T00:00:00Z
GBHL01,TSA,,PLN,Tinospora cordifolia,PRJNA188660,SAMN01915272,cultivar: IC-281970,,20865469,33332,0,No,2017-06-07T00:00:00Z,2017-06-07T00:00:00Z
GBHM01,TSA,,PLN,Agave americana,PRJNA244686,"SAMN02821317,SAMN02821318",strain: marginata,,55699127,61548,0,No,2016-11-15T00:00:00Z,2016-11-15T00:00:00Z
GBHN01,TSA,,INV,Colaphellus bowringi,PRJNA209790,SAMN02221894,,,24767060,35457,0,No,2015-01-21T00:00:00Z,2015-01-21T00:00:00Z
GBHO01,TSA,,INV,Lygus hesperus,PRJNA238835,"SAMN02679940,SAMN02679941,SAMN02679942,SAMN02679943,SAMN02679944,SAMN02679945,SAMN02679946,SAMN02679947,SAMN02679948",,,102246199,45706,45706,Yes,2014-12-12T00:00:00Z,2014-12-12T00:00:00Z
GBHP01,TSA,,PLN,Hevea brasiliensis,PRJNA254411,"SAMN02903559,SAMN02903560",,,28026181,33781,0,No,2017-08-01T00:00:00Z,2017-08-01T00:00:00Z
GBHQ01,TSA,,PLN,Cephalotaxus hainanensis,PRJNA254529,SAMN02905148,,,42906717,39356,0,No,2014-09-17T00:00:00Z,2014-09-17T00:00:00Z
GBHR01,TSA,,ROD,Mesocricetus auratus,PRJNA230618,"SAMN02899681,SAMN02899682,SAMN02899683,SAMN02899684,SAMN02899685,SAMN02899686,SAMN02899687,SAMN02899688",,,2271170,1305,0,No,2017-12-04T00:00:00Z,2017-12-04T00:00:00Z
GBHS01,TSA,,ROD,Mesocricetus auratus,PRJNA230618,"SAMN02899668,SAMN02899669,SAMN02899670,SAMN02899671,SAMN02899672,SAMN02899673,SAMN02899674",,,1857619,1078,0,No,2017-12-04T00:00:00Z,2017-12-04T00:00:00Z
GBHT01,TSA,,INV,Halyomorpha halys,PRJNA248431,"SAMN02821154,SAMN02821155",,,26764243,13211,0,No,2014-09-02T00:00:00Z,2014-09-02T00:00:00Z
GBHU01,TSA,,VRT,Echis coloratus,PRJNA255316,"SAMN02780842,SAMN02780843,SAMN02780844,SAMN02780845,SAMN02780846,SAMN02780847,SAMN02780864,SAMN02780865",,,13613,5,5,Yes,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z
GBHV01,TSA,,VRT,Eublepharis macularius,PRJNA255316,"SAMEA1689199,SAMEA1689217,SAMEA1689222,SAMEA1689224,SAMEA1689225,SAMEA1689226",,"tissue_type: salivary gland\, scent gland\, skin",12339,5,5,Yes,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z
GBHW01,TSA,,VRT,Opheodrys aestivus,PRJNA255316,"SAMEA1689203,SAMEA1689207,SAMEA1689209,SAMEA1689219,SAMEA1689220,SAMEA1689223",,,9511,4,4,Yes,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z
GBHX01,TSA,,VRT,Pantherophis guttatus,PRJNA255316,"SAMEA1689204,SAMEA1689215,SAMEA1689216,SAMEA1689221,SAMEA1689229",,,8076,3,3,Yes,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z
GBHY01,TSA,,VRT,Python regius,PRJNA255316,"SAMEA1689202,SAMEA1689208,SAMEA1689210,SAMEA1689213,SAMEA1689214,SAMEA1689227",,,8210,4,4,Yes,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z
GBHZ01,TSA,,VRT,Eublepharis macularius,PRJEB2884,"SAMEA1689199,SAMEA1689217,SAMEA1689222,SAMEA1689224,SAMEA1689225,SAMEA1689226",,,86033,42,42,Yes,2015-04-07T00:00:00Z,2014-10-21T00:00:00Z
GBIA01,TSA,,VRT,Opheodrys aestivus,PRJEB2884,"SAMEA1689203,SAMEA1689207,SAMEA1689209,SAMEA1689219,SAMEA1689220,SAMEA1689223",,,89047,50,50,Yes,2015-04-07T00:00:00Z,2014-10-21T00:00:00Z
GBIB01,TSA,,VRT,Pantherophis guttatus,PRJEB2884,"SAMEA1689204,SAMEA1689215,SAMEA1689216,SAMEA1689221,SAMEA1689229",,,96849,59,59,Yes,2015-04-07T00:00:00Z,2014-10-21T00:00:00Z
GBIC01,TSA,,VRT,Python regius,PRJEB2884,"SAMEA1689202,SAMEA1689208,SAMEA1689210,SAMEA1689213,SAMEA1689214,SAMEA1689227",,,87901,44,44,Yes,2015-04-07T00:00:00Z,2014-10-21T00:00:00Z
GBID01,TSA,,INV,Blattella germanica,PRJNA248247,"SAMN02796058,SAMN02796059",,tissue_type: full body,10239008,6833,0,No,2014-10-21T00:00:00Z,2014-10-21T00:00:00Z
GBIE01,TSA,,PLN,Anthoxanthum odoratum,PRJNA255182,"SAMN02910590,SAMN02910591,SAMN02910592,SAMN02910593",,,61916221,83703,0,No,2015-02-18T00:00:00Z,2014-08-13T00:00:00Z
GBIF01,TSA,,VRT,Larimichthys crocea,PRJNA254539,SAMN02904733,,,86953831,88094,0,No,2019-06-11T00:00:00Z,2014-10-14T00:00:00Z
GBIG01,TSA,,PLN,Agrocybe salicacicola,PRJNA253770,SAMN02904641,strain: 20*130 and 32*130,isolation_source: decayed wood,31265604,20721,0,No,2017-08-01T00:00:00Z,2017-08-01T00:00:00Z
GBIH01,TSA,,INV,Ixodes ricinus,PRJNA183509,"SAMN01830796,SAMN01830797,SAMN01830798,SAMN01830799",,,2128460,2854,2854,Yes,2016-08-23T00:00:00Z,2014-09-12T00:00:00Z
GBII01,TSA,,INV,Bemisia tabaci,PRJNA255988,SAMN02934457,,,67220885,51123,0,No,2015-12-16T00:00:00Z,2015-08-03T00:00:00Z
GBIJ01,TSA,,INV,Bemisia tabaci,PRJNA255986,SAMN02934455,,tissue_type: whole body,45762509,68512,0,No,2015-12-16T00:00:00Z,2015-08-03T00:00:00Z
GBIK01,TSA,,VRT,Acanthis flammea,PRJNA256306,"SAMN02943248,SAMN02943249,SAMN02943250,SAMN02943251,SAMN02943252,SAMN02943255,SAMN02943257",,,47602457,30357,0,No,2015-08-03T00:00:00Z,2015-08-03T00:00:00Z
GBIL01,TSA,,INV,Glossoscolex paulistus,PRJNA253195,SAMN02869147,,tissue_type: whole organism,199811471,97639,11,Yes,2015-08-26T00:00:00Z,2015-08-26T00:00:00Z
GBIM01,TSA,,INV,Scolopendra dehaani,PRJNA222648,SAMN02373800,,,6936488,16084,0,No,2014-09-05T00:00:00Z,2014-09-05T00:00:00Z
GBIN01,TSA,,VRT,Acanthis hornemanni,PRJNA256306,"SAMN02943253,SAMN02943254,SAMN02943256",,,47602457,30357,0,No,2015-08-03T00:00:00Z,2015-08-03T00:00:00Z
GBIO01,TSA,,PLN,Avicennia marina,PRJNA187540,SAMN01906725,,tissue_type: leaf,41667392,89833,0,No,2014-10-22T00:00:00Z,2014-10-22T00:00:00Z
GBIP01,TSA,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",24355435,30807,0,No,2015-02-02T00:00:00Z,2014-09-05T00:00:00Z
GBIQ01,TSA,,PLN,Arachis ipaensis,PRJNA248910,SAMN02803903,cultivar: KGBPScS30076 (PI 468322),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",22223312,29780,0,No,2015-02-02T00:00:00Z,2014-09-04T00:00:00Z
GBIR01,TSA,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",26958481,39276,0,No,2015-02-02T00:00:00Z,2014-08-27T00:00:00Z
GBIS01,TSA,,PLN,Arachis ipaensis,PRJNA248910,SAMN02803903,cultivar: KGBPScS30076 (PI 468322),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",24175988,37725,0,No,2015-02-02T00:00:00Z,2014-08-27T00:00:00Z
GBIT01,TSA,,INV,Bactrocera minax,PRJNA244614,SAMN02727808,,,38471055,47189,0,No,2014-10-23T00:00:00Z,2014-08-25T00:00:00Z
GBIU01,TSA,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",34674541,37379,0,No,2015-02-02T00:00:00Z,2014-09-04T00:00:00Z
GBIV01,TSA,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",32616337,32805,0,No,2015-02-02T00:00:00Z,2015-02-02T00:00:00Z
GBIW01,TSA,,PLN,Arachis ipaensis,PRJNA248910,SAMN02803903,cultivar: KGBPScS30076 (PI 468322),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",34674541,37379,0,No,2015-02-02T00:00:00Z,2014-09-05T00:00:00Z
GBIX01,TSA,,PLN,Arachis hypogaea var. vulgaris,PRJNA248910,SAMN02803905,cultivar: OLin CV-75 (PI 631176),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",35225745,58960,0,No,2015-02-02T00:00:00Z,2014-09-03T00:00:00Z
GBIY01,TSA,,PLN,Arachis hypogaea var. vulgaris,PRJNA248910,SAMN02803905,cultivar: OLin CV-75 (PI 631176),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",57312683,70752,0,No,2015-02-02T00:00:00Z,2015-02-02T00:00:00Z
GBIZ01,TSA,,PLN,Arachis hypogaea var. vulgaris,PRJNA248910,SAMN02803905,cultivar: OLin CV-75 (PI 631176),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",56600858,51407,0,No,2015-02-02T00:00:00Z,2015-02-02T00:00:00Z
GBJA01,TSA,,INV,Opisthorchis felineus,PRJNA257351,"SAMN02951678,SAMN02953025",,,24731212,12665,0,No,2015-04-13T00:00:00Z,2015-04-13T00:00:00Z
GBJB01,TSA,,PLN,Andrographis paniculata,PRJNA247458,SAMN02777339,cultivar: Megha,tissue_type: Leaf,88933560,83800,0,No,2015-03-26T00:00:00Z,2015-03-26T00:00:00Z
GBJC01,TSA,,INV,Periplaneta americana,PRJNA251501,SAMN02834829,,tissue_type: testis,94194175,122468,0,No,2018-06-12T00:00:00Z,2018-06-12T00:00:00Z
GBJD01,TSA,,INV,Saccostrea glomerata,PRJNA253158,"SAMN02867721,SAMN02867722,SAMN02867723,SAMN02867724,SAMN02867725,SAMN02867726",,,28252423,28597,0,No,2015-01-16T00:00:00Z,2015-01-16T00:00:00Z
GBJE01,TSA,,PLN,Arachis hypogaea var. vulgaris,PRJNA248910,SAMN02803905,cultivar: OLin CV-75 (PI 631176),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",74574575,66989,0,No,2015-02-02T00:00:00Z,2014-09-04T00:00:00Z
GBJF01,TSA,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",30443387,33145,0,No,2015-02-02T00:00:00Z,2014-09-04T00:00:00Z
