tsa_id,tax_id,species,family_id,family_name,order_id,order_name,bioproject,biosample,sequence_read_archive,download_status
GDZO00000000.1,1661467,Dimorphodes sp. AD-2015,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286361,SAMN04005146,SRR2230531,False
GDZM00000000.1,7024,Extatosoma tiaratum,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286376,SAMN04005161,SRR2230546,False
GDXC00000000.1,614140,Pseudophasma velutinum,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA286445,SAMN04005231,SRR2230616,False
GDXB00000000.1,7022,Carausius morosus,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286347,SAMN04005132,SRR2230517,False
GDWZ00000000.1,1661800,Abrosoma johorense,262154.0,Aschiphasmatidae,7020,Phasmatodea,PRJNA286328,SAMN04005111,SRR2230496,False
GDWL00000000.1,1661841,Orxines xiphias,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286422,SAMN04005207,SRR2230592,False
GDTQ00000000.1,75184,Bacillus rossius,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286345,SAMN04005130,SRR2230515,False
GDVL00000000.1,741259,Spinotectarchus acornutus,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286457,SAMN04005243,SRR2230628,False
GDVJ00000000.1,1661838,Neohirasea fruhstorferi,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286411,SAMN04005196,SRR2230581,False
GDVF00000000.1,1603952,Achrioptera fallax,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286331,SAMN04005114,SRR2230499,False
GDVD00000000.1,93610,Eurycantha calcarata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286372,SAMN04005157,SRR2230542,False
GEAD00000000.1,614142,Pseudosermyle phalangiphora,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286446,SAMN04005232,SRR2230617,False
GDYY00000000.1,58611,Agathemera crassa,523710.0,Agathemeridae,7020,Phasmatodea,PRJNA286334,SAMN04005117,SRR2230502,False
GDYR00000000.1,1661803,Antongilia madagassa,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286380,SAMN04005165,SRR2230550,True
GDZN00000000.1,590986,Orestes mouhotii,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286420,SAMN04005205,SRR2230590,True
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,"SAMN12331412,SAMN12331413,SAMN12331414,SAMN12331415,SAMN12331416,SAMN12331417,SAMN12331418,SAMN12331419,SAMN12331420,SAMN12331421,SAMN12331422,SAMN12331423,SAMN12331424,SAMN12331425,SAMN12331426,SAMN12331427,SAMN12331428,SAMN12331429,SAMN12331430,SAMN12331431,SAMN12331432,SAMN12331433,SAMN12331434,SAMN12331435","SRR9724636,SRR9724637,SRR9724638,SRR9724639,SRR9724640,SRR9724641,SRR9724642,SRR9724643,SRR9724644,SRR9724645,SRR9724646,SRR9724647,SRR9724648,SRR9724649,SRR9724650,SRR9724651,SRR9724652,SRR9724653,SRR9724654,SRR9724655,SRR9724656,SRR9724657,SRR9724658,SRR9724659",False
GHRM00000000.1,104688,Bactrocera oleae,7211.0,Tephritidae,7147,Diptera,PRJNA288990,SAMN03840585,"SRR8800821,SRR8800822,SRR8800823,SRR8800824,SRR8800825,SRR8800826,SRR8800827,SRR8800828,SRR8800829,SRR8800830,SRR8800831,SRR8800832,SRR8800833,SRR8800834,SRR8800835",False
GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,"SAMN10032278,SAMN10032279,SAMN10032280,SAMN10032302","SRR7818012,SRR7818013,SRR7818014,SRR7818015",False
GGRL00000000.1,53598,Trichogramma chilonis,7489.0,Trichogrammatidae,7399,Hymenoptera,PRJNA412985,SAMN07734740,SRR6130223,False
GHNK00000000.1,499550,Grapholitha molesta,7139.0,Tortricidae,7088,Lepidoptera,PRJNA548236,"SAMN12011958,SAMN12011959,SAMN12011960,SAMN12011961,SAMN12011962,SAMN12011963,SAMN12011964,SAMN12011965,SAMN12011966","SRR9276388,SRR9276389,SRR9276390,SRR9276391,SRR9276392,SRR9276393,SRR9276394,SRR9276395,SRR9276396",False
IADH00000000.1,85585,Adoxophyes honmai,7139.0,Tortricidae,7088,Lepidoptera,PRJDB6525,"SAMD00128865,SAMD00128866,SAMD00128867,SAMD00128868,SAMD00128869,SAMD00128870","DRR139797,DRR139798,DRR139799,DRR139800,DRR139801,DRR139802",False
IADS00000000.1,161014,Thrips tabaci,45053.0,Thripidae,30262,Thysanoptera,PRJDB7623,"SAMD00148853,SAMD00148854,SAMD00148855","DRR157291,DRR157292,DRR157293",False
GHOS00000000.1,614134,Peruphasma schultei,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA221630,"SAMN02364145,SAMN02364146,SAMN02671262","SRR1002984,SRR1003263,SRR1003264,SRR1003265,SRR1003267,SRR1003269",False
GHNP00000000.1,141914,Reticulitermes labralis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA548499,"SAMN12045884,SAMN12045885,SAMN12045886,SAMN12045887,SAMN12045888,SAMN12045889,SAMN12045890,SAMN12045891,SAMN12045892","SRR9301201,SRR9301202,SRR9301203,SRR9301204,SRR9301205,SRR9301206,SRR9301207,SRR9301208,SRR9301209",False
IAEB00000000.1,62960,Nasutitermes takasagoensis,46569.0,Termitidae,85823,Blattodea,PRJDB7701,"SAMD00152162,SAMD00152163,SAMD00152164,SAMD00152165,SAMD00152166","DRR162556,DRR162557,DRR162558,DRR162559,DRR162560",False
GGAG00000000.1,1836603,Amrasca biguttula biguttula,30102.0,Cicadellidae,7524,Hemiptera,PRJNA417995,SAMN08013300,SRR6308174,False
GHNJ00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,"SAMN10032278,SAMN10032279,SAMN10032280,SAMN10032302","SRR7818012,SRR7818013,SRR7818014,SRR7818015",False
GHMS00000000.1,141915,Reticulitermes aculabialis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA545003,"SAMN11867978,SAMN11867979,SAMN11867980,SAMN11867981,SAMN11867982,SAMN11867983,SAMN11867984,SAMN11867985,SAMN11867986","SRR9140410,SRR9140411,SRR9140412,SRR9140413,SRR9140414,SRR9140415,SRR9140416,SRR9140417,SRR9140418",False
GHLY00000000.1,115357,Harmonia axyridis,7080.0,Coccinellidae,7041,Coleoptera,PRJNA511760,SAMN10643380,SRR9021293,False
IAEA00000000.1,196483,Nipponaphis monzeni,30161.0,Hormaphididae,7524,Hemiptera,PRJDB7750,"SAMD00153879,SAMD00153880,SAMD00153881,SAMD00153882,SAMD00153883,SAMD00153884","DRR161922,DRR161923,DRR161924,DRR161925,DRR161926,DRR161927",False
GFTR00000000.1,156445,Panstrongylus lignarius,27479.0,Reduviidae,7524,Hemiptera,PRJNA395235,"SAMN07374128,SAMN07374129","SRR5859113,SRR5859114",True
GEMB00000000.1,30076,Triatoma infestans,27479.0,Reduviidae,7524,Hemiptera,PRJNA314811,SAMN04543919,SRR3287340,True
GECL00000000.1,72491,Triatoma dimidiata,27479.0,Reduviidae,7524,Hemiptera,PRJNA300554,SAMN04240765,SRR2899821,True
GHKJ00000000.1,13249,Rhodnius prolixus,27479.0,Reduviidae,7524,Hemiptera,PRJNA191820,"SAMN00618861,SAMN00618862,SAMN00618863,SAMN00618868,SAMN00618869,SAMN00618873,SAMN00618874,SAMN00618883","SRR206936,SRR206937,SRR206938,SRR206946,SRR206947,SRR206948,SRR206952,SRR206983,SRR206984",True
GHKV00000000.1,1007316,Gomphocerus sibiricus,7002.0,Acrididae,6993,Orthoptera,PRJNA525981,SAMN11081372,SRR8695387,True
GHKU00000000.1,7108,Spodoptera frugiperda,7100.0,Noctuidae,7088,Lepidoptera,PRJNA515785,SAMN10754254,"SRR8449070,SRR8449071,SRR8449072,SRR8449073,SRR8449074,SRR8449075",True
GFQQ00000000.1,161014,Thrips tabaci,45053.0,Thripidae,30262,Thysanoptera,PRJNA392363,SAMN07296906,SRR5796960,True
GDPI00000000.1,795051,Elaphrus aureus,41073.0,Carabidae,7041,Coleoptera,PRJNA286520,SAMN03799564,SRR2083660,True
GDMH00000000.1,247075,Cicindela hybrida,41073.0,Carabidae,7041,Coleoptera,PRJNA286505,SAMN03799549,SRR2083645,True
GDLF00000000.1,287700,Calosoma frigidum,41073.0,Carabidae,7041,Coleoptera,PRJNA286499,SAMN03799544,SRR2083640,True
HAMG00000000.1,161253,Galerucella pusilla,27439.0,Chrysomelidae,7041,Coleoptera,PRJEB28202,SAMEA4853205,,True
HAMF00000000.1,161252,Galerucella calmariensis,27439.0,Chrysomelidae,7041,Coleoptera,PRJEB28202,SAMEA4853110,,True
GHJE00000000.1,115357,Harmonia axyridis,7080.0,Coccinellidae,7041,Coleoptera,PRJNA437351,SAMN08660877,"SRR8380386,SRR8380387,SRR8380388,SRR8380389",True
GCWI00000000.1,2569394,Enchenopa latipes,30095.0,Membracidae,7524,Hemiptera,PRJNA272226,SAMN03341938,SRR1821904,True
GHGZ00000000.1,378752,Achaea janata,7100.0,Noctuidae,7088,Lepidoptera,PRJNA523326,SAMN09241884,"SRR8617834,SRR8617835,SRR8617836,SRR8617837,SRR8617838,SRR8617839,SRR8617840,SRR8617841,SRR8617842,SRR8617843,SRR8617844,SRR8617845,SRR8617846,SRR8617847,SRR8617848,SRR8617849,SRR8617850,SRR8617851,SRR8617852,SRR8617853,SRR8617854,SRR8617855,SRR8617856,SRR8617857,SRR8617858,SRR8617859,SRR8617860,SRR8617861",True
GDMW00000000.1,878025,Haliplus fluviatilis,107851.0,Haliplidae,7041,Coleoptera,PRJNA286525,SAMN03799569,SRR2083665,True
GDNH00000000.1,1661815,Sinaspidytes wrasei,183863.0,Aspidytidae,7041,Coleoptera,PRJNA286492,SAMN03799537,SRR2083633,True
GDLH00000000.1,107796,Cybister lateralimarginalis,50515.0,Dytiscidae,7041,Coleoptera,PRJNA286512,SAMN03799556,SRR2083652,True
GDNB00000000.1,1661492,Dineutus sp. AD-2015,107778.0,Gyrinidae,7041,Coleoptera,PRJNA286516,SAMN03799560,SRR2083656,True
GDNA00000000.1,110027,Noterus clavicornis,63901.0,Noteridae,7041,Coleoptera,PRJNA286561,SAMN03799605,SRR2083701,True
GFUK00000000.1,107881,Hygrobia hermanni,107878.0,Hygrobiidae,7041,Coleoptera,PRJNA392382,SAMN07297121,SRR5889472,True
GFUI00000000.1,107794,Liopterus haemorrhoidalis,50515.0,Dytiscidae,7041,Coleoptera,PRJNA392045,SAMN07280875,SRR5892098,True
GFUO00000000.1,183865,Aspidytes niobe,183863.0,Aspidytidae,7041,Coleoptera,PRJNA391973,SAMN07279561,SRR5889386,True
GFUH00000000.1,159779,Amphizoa lecontei,107773.0,Amphizoidae,7041,Coleoptera,PRJNA392306,SAMN07289768,SRR5892093,True
GFUJ00000000.1,207415,Batrachomatus nannup,50515.0,Dytiscidae,7041,Coleoptera,PRJNA392058,SAMN07280954,SRR5892099,True
GFUN00000000.1,1048682,Hygrobia nigra,107878.0,Hygrobiidae,7041,Coleoptera,PRJNA392270,SAMN07287246,SRR5889473,True
GHFS00000000.1,30195,Bombus terrestris,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691949,SRR6148374,True
GHFP00000000.1,185587,Osmia cornuta,124286.0,Megachilidae,7399,Hymenoptera,PRJNA411946,SAMN07691946,SRR6148371,True
GHFU00000000.1,444401,Andrena haemorrhoa,48719.0,Andrenidae,7399,Hymenoptera,PRJNA411946,SAMN07691956,SRR6148367,True
GHGA00000000.1,444401,Andrena haemorrhoa,48719.0,Andrenidae,7399,Hymenoptera,PRJNA411946,SAMN07691952,SRR6148377,True
GHFY00000000.1,65598,Bombus pascuorum,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691958,SRR6148369,True
GHFZ00000000.1,65598,Bombus pascuorum,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691951,SRR6148376,True
GHFQ00000000.1,65598,Bombus pascuorum,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691947,SRR6148372,True
GHFW00000000.1,465493,Andrena cineraria,48719.0,Andrenidae,7399,Hymenoptera,PRJNA411946,SAMN07691960,SRR6148365,True
GHGB00000000.1,30195,Bombus terrestris,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691957,SRR6148368,True
GHFV00000000.1,65598,Bombus pascuorum,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691955,SRR6148366,True
GHGD00000000.1,130687,Bombus cryptarum,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691953,SRR6148378,True
GHGC00000000.1,1437190,Osmia bicornis,124286.0,Megachilidae,7399,Hymenoptera,PRJNA411946,SAMN07691954,SRR6148379,True
GHFT00000000.1,185587,Osmia cornuta,124286.0,Megachilidae,7399,Hymenoptera,PRJNA411946,SAMN07691950,SRR6148375,True
GHFR00000000.1,1411667,Andrena fulva,48719.0,Andrenidae,7399,Hymenoptera,PRJNA411946,SAMN07691948,SRR6148373,True
GHFO00000000.1,30195,Bombus terrestris,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691945,SRR6148370,True
GHFX00000000.1,185587,Osmia cornuta,124286.0,Megachilidae,7399,Hymenoptera,PRJNA411946,SAMN07691959,SRR6148364,True
GCGW00000000.1,1572531,Ortholfersia macleayi,81710.0,Hippoboscidae,7147,Diptera,PRJNA267975,SAMN03223137,SRR1695374,True
GCNB00000000.1,1572540,Stomorhina subapicalis,1902070.0,Rhiniidae,7147,Diptera,PRJNA267997,SAMN03223160,SRR1695394,True
GCGA00000000.1,1572521,Lispe sydneyensis,7366.0,Muscidae,7147,Diptera,PRJNA267956,SAMN03223118,SRR1695356,True
GCFN00000000.1,116148,Mesembrina meridiana,7366.0,Muscidae,7147,Diptera,PRJNA267965,SAMN03223127,SRR1695365,True
GCFF00000000.1,27454,Calliphora vomitoria,7371.0,Calliphoridae,7147,Diptera,PRJNA267921,SAMN03223083,SRR1695328,True
GCGM00000000.1,1321409,Penicillidia dufourii,81707.0,Nycteribiidae,7147,Diptera,PRJNA267980,SAMN03223142,SRR1695378,True
GCFC00000000.1,1572552,Eustalomyia vittipes,30062.0,Anthomyiidae,7147,Diptera,PRJNA267942,SAMN03223104,SRR1695308,True
GCMA00000000.1,1572554,Euthera bicolor,27474.0,Tachinidae,7147,Diptera,PRJNA267943,SAMN03223105,SRR1695343,True
GCLX00000000.1,1572517,Cuterebra austeni,7387.0,Oestridae,7147,Diptera,PRJNA267933,SAMN03223095,SRR1695306,True
GHDK00000000.1,109024,Laupala cerasina,6995.0,Gryllidae,6993,Orthoptera,PRJNA509479,"SAMN08357529,SAMN08357530","SRR8322178,SRR8322179",False
GGNH00000000.1,108931,Nilaparvata lugens,33362.0,Delphacidae,7524,Hemiptera,PRJNA360217,SAMN06205216,SRR5149721,True
GHEU00000000.1,2490487,Coenosia sp. anthr013,7366.0,Muscidae,7147,Diptera,PRJNA505968,SAMN10434535,SRR8236840,True
GHFF00000000.1,2489099,Cordilura sp. cordr014,43756.0,Scathophagidae,7147,Diptera,PRJNA505968,SAMN10434580,SRR8236842,True
GHFE00000000.1,2489096,Schoenomyza sp. heca017,7366.0,Muscidae,7147,Diptera,PRJNA505968,SAMN10439713,SRR8236846,True
GHEZ00000000.1,307205,Fannia canicularis,27471.0,Fanniidae,7147,Diptera,PRJNA505968,SAMN10434582,SRR8236841,True
GHFA00000000.1,95463,Scathophaga stercoraria,43756.0,Scathophagidae,7147,Diptera,PRJNA505968,SAMN10438024,SRR8236843,True
GHEX00000000.1,2489095,Pollenia sp. poln016,7371.0,Calliphoridae,7147,Diptera,PRJNA505968,SAMN10437982,SRR8236845,True
GHEY00000000.1,2489098,Gymnoprosopa sp. milt015,7381.0,Sarcophagidae,7147,Diptera,PRJNA505968,SAMN10437878,SRR8236844,True
GHEH00000000.1,89055,Thermobia domestica,27551.0,Lepismatidae,30264,Zygentoma,PRJNA492313,SAMN10096876,SRR8432569,True
GDYJ00000000.1,1661816,Balta vilis,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286346,SAMN04005131,SRR2230516,True
GDXP00000000.1,36981,Shelfordella lateralis,6974.0,Blattidae,85823,Blattodea,PRJNA286452,SAMN04005238,SRR2230623,True
GDYD00000000.1,1661484,Tivia sp. AD-2015,30007.0,Corydiidae,85823,Blattodea,PRJNA286468,SAMN04005254,SRR2230639,True
GDYE00000000.1,1661525,Ellipsidion sp. AD-2015,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286365,SAMN04005150,SRR2230535,True
GDZF00000000.1,1661876,Eucorydia yasumatsui,30007.0,Corydiidae,85823,Blattodea,PRJNA286371,SAMN04005156,SRR2230541,True
GDYK00000000.1,242713,Loboptera decipiens,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286399,SAMN04005184,SRR2230569,True
GDVA00000000.1,127387,Reticulitermes santonensis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA286449,SAMN04005235,SRR2230620,True
GDYC00000000.1,1661824,Episymploce sundaica,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286368,SAMN04005153,SRR2230538,True
GDZI00000000.1,103000,Paratemnopteryx couloniana,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286432,SAMN04005217,SRR2230602,True
GDWW00000000.1,1661869,Asiablatta kyotensis,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286658,SAMN04005126,SRR2230511,True
GEAA00000000.1,1661865,Anallacta methanoides,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286338,SAMN04005121,SRR2230506,True
GDZY00000000.1,1661828,Euthlastoblatta diaphana,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286375,SAMN04005160,SRR2230545,True
GDWU00000000.1,83902,Supella longipalpa,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286461,SAMN04005247,SRR2230632,True
GDVQ00000000.1,1661856,Therea bernhardti,30007.0,Corydiidae,85823,Blattodea,PRJNA286466,SAMN04005252,SRR2230637,True
GDZE00000000.1,1661477,Nyctibora sp. AD-2015,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286416,SAMN04005201,SRR2230586,True
GDYS00000000.1,303877,Eurycotis floridana,6974.0,Blattidae,85823,Blattodea,PRJNA286373,SAMN04005158,SRR2230543,True
GDYB00000000.1,1661476,Nocticola sp. AD-2015,85826.0,Nocticolidae,85823,Blattodea,PRJNA286415,SAMN04005200,SRR2230585,True
GDZH00000000.1,303918,Deropeltis erythrocephala,6974.0,Blattidae,85823,Blattodea,PRJNA286357,SAMN04005142,SRR2230527,True
GDXG00000000.1,1661849,Princisia vanwaerebeki,6979.0,Blaberidae,85823,Blattodea,PRJNA286440,SAMN04005226,SRR2230611,True
GDWV00000000.1,1554535,Tryonicus parvus,1560744.0,Tryonicidae,85823,Blattodea,PRJNA286471,SAMN04005257,SRR2230642,True
GDWT00000000.1,1661834,Methana parva,6974.0,Blattidae,85823,Blattodea,PRJNA286405,SAMN04005190,SRR2230575,True
GDWQ00000000.1,36955,Panchlora nivea,6979.0,Blaberidae,85823,Blattodea,PRJNA286426,SAMN04005211,SRR2230596,True
GDZZ00000000.1,63739,Lobopterella dimidiatipes,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286400,SAMN04005185,SRR2230570,True
GDWJ00000000.1,7085,Polyphaga aegyptiaca,30007.0,Corydiidae,85823,Blattodea,PRJNA286439,SAMN04005225,SRR2230610,True
GDEC00000000.1,1585295,Ischnoptera deropeltiformis,1049651.0,Ectobiidae,85823,Blattodea,PRJNA272190,SAMN03331977,SRR2051496,True
GDYG00000000.1,6984,Diploptera punctata,6979.0,Blaberidae,85823,Blattodea,PRJNA286363,SAMN04005148,SRR2230533,True
GDZJ00000000.1,406578,Gyna lurida,6979.0,Blaberidae,85823,Blattodea,PRJNA286383,SAMN04005168,SRR2230553,True
GDZD00000000.1,1661523,Cariblatta sp. AD-2015,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286348,SAMN04005133,SRR2230518,True
GDUO00000000.1,1661473,Mantoida sp. AD-2015,267101.0,Mantoididae,7504,Mantodea,PRJNA286401,SAMN04005186,SRR2230571,True
GDYP00000000.1,1080973,Ectobius sylvestris,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286364,SAMN04005149,SRR2230534,True
GDUG00000000.1,1661464,Coptotermes sp. AD-2015,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA286352,SAMN04005137,SRR2230522,True
GGRH00000000.1,485574,Lampronia capitella,28660.0,Prodoxidae,7088,Lepidoptera,PRJNA431151,SAMN08384474,SRR6679363,True
GGRG00000000.1,1876001,Rhyacophila nubila,177631.0,Rhyacophilidae,30263,Trichoptera,PRJNA478813,SAMN09531832,SRR7459244,True
GDCR00000000.1,6973,Blattella germanica,1049651.0,Ectobiidae,85823,Blattodea,PRJNA273023,SAMN03339326,SRR1811959,True
GDCG00000000.1,1603009,Symploce sp. AD-2014,1049651.0,Ectobiidae,85823,Blattodea,PRJNA273059,SAMN03339362,SRR1811995,True
GDCF00000000.1,247159,Aularches miliaris,58543.0,Pyrgomorphidae,6993,Orthoptera,PRJNA273022,SAMN03339325,SRR1811958,True
GDBO00000000.1,529878,Incisitermes marginipennis,46562.0,Kalotermitidae,85823,Blattodea,PRJNA273038,SAMN03339341,SRR1811974,True
GDCK00000000.1,270842,Antipaluria urichi,178284.0,Clothodidae,50657,Embioptera,PRJNA273020,SAMN03339323,SRR1811956,True
GDCJ00000000.1,1603030,Sundablatta sexpunctata,1049651.0,Ectobiidae,85823,Blattodea,PRJNA273058,SAMN03339361,SRR1811994,True
GCPS00000000.1,1080993,Lamproblatta albipalpus,1080998.0,Lamproblattidae,85823,Blattodea,PRJNA273039,SAMN03339342,SRR1811975,True
GCPR00000000.1,36965,Schultesia lampyridiformis,6979.0,Blaberidae,85823,Blattodea,PRJNA273055,SAMN03339358,SRR1811991,True
GCPO00000000.1,444980,Popa spurca,7505.0,Mantidae,7504,Mantodea,PRJNA273050,SAMN03339353,SRR1811986,True
GDBS00000000.1,76901,Ergaula capucina,30007.0,Corydiidae,85823,Blattodea,PRJNA273034,SAMN03339337,SRR1811970,True
GDBT00000000.1,1603019,Stagmatoptera biocellata,7505.0,Mantidae,7504,Mantodea,PRJNA273057,SAMN03339360,SRR1811993,True
GDBP00000000.1,552052,Protonemura ausonia,62802.0,Nemouridae,50622,Plecoptera,PRJNA273052,SAMN03339355,SRR1811988,True
GDCU00000000.1,1603005,Hemimerus sp. AD-2014,211563.0,Hemimeridae,27434,Dermaptera,PRJNA273036,SAMN03339339,SRR1811972,True
GDCL00000000.1,1603012,Brunneria borealis,7505.0,Mantidae,7504,Mantodea,PRJNA273025,SAMN03339328,SRR1811961,True
GDCI00000000.1,6990,Nauphoeta cinerea,6979.0,Blaberidae,85823,Blattodea,PRJNA273041,SAMN03339344,SRR1811977,True
GDCD00000000.1,1603015,Diapherodes gigantea,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA273031,SAMN03339334,SRR1811967,True
GDCE00000000.1,614091,Agamemnon cornutus,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA273019,SAMN03339322,SRR1811955,True
GDCB00000000.1,146836,Proreus simulans,146834.0,Chelisochidae,27434,Dermaptera,PRJNA273051,SAMN03339354,SRR1811987,True
GDBY00000000.1,1603017,Ptilocerembia catherinae,1612334.0,Ptilocerembiidae,50657,Embioptera,PRJNA273053,SAMN03339356,SRR1811989,True
GCPK00000000.1,267205,Hymenopus coronatus,119670.0,Hymenopodidae,7504,Mantodea,PRJNA273037,SAMN03339340,SRR1811973,True
GCPJ00000000.1,1603032,Xya variegata,58551.0,Tridactylidae,6993,Orthoptera,PRJNA273062,SAMN03339365,SRR1811998,True
GCPH00000000.1,1603026,Tirachoidea westwoodii,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA273047,SAMN03339350,SRR1811983,True
GCPF00000000.1,1603022,Cheddikulama straminea,268308.0,Toxoderidae,7504,Mantodea,PRJNA273027,SAMN03339330,SRR1811963,True
GDBR00000000.1,1603024,Phaeophilacris bredoides,1634180.0,Phalangopsidae,6993,Orthoptera,PRJNA273046,SAMN03339349,SRR1811982,True
GDBN00000000.1,1603011,Brachyptera vera,143727.0,Taeniopterygidae,50622,Plecoptera,PRJNA273024,SAMN03339327,SRR1811960,True
GCPE00000000.1,1603016,Nippancistroger testaceus,41433.0,Gryllacrididae,6993,Orthoptera,PRJNA273043,SAMN03339346,SRR1811979,True
GDCH00000000.1,267208,Phyllocrania paradoxa,119670.0,Hymenopodidae,7504,Mantodea,PRJNA273049,SAMN03339352,SRR1811985,True
GCPQ00000000.1,1603010,Acontista multicolor,268311.0,Acanthopidae,7504,Mantodea,PRJNA273018,SAMN03339321,SRR1811954,True
GCPP00000000.1,1603008,Orthomeria sp. AD-2014,262154.0,Aschiphasmatidae,7020,Phasmatodea,PRJNA273045,SAMN03339348,SRR1811981,True
GDCT00000000.1,1603014,Creoxylus spinosus,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA273030,SAMN03339333,SRR1811966,True
GDCA00000000.1,76899,Catara rugosicollis,6974.0,Blattidae,85823,Blattodea,PRJNA273026,SAMN03339329,SRR1811962,True
GDBZ00000000.1,609060,Apteroperla tikumana,143699.0,Capniidae,50622,Plecoptera,PRJNA273021,SAMN03339324,SRR1811957,True
GDCS00000000.1,1603004,Diplatys sp. AD-2014,146822.0,Diplatyidae,27434,Dermaptera,PRJNA273033,SAMN03339336,SRR1811969,True
GCPN00000000.1,270847,Orthodera novaezealandiae,7505.0,Mantidae,7504,Mantodea,PRJNA273044,SAMN03339347,SRR1811980,True
