#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDEA01030272.1_3     -          LOTUS_CONSENSUS      -            3.5e-10   44.0   0.1        15    9.9   0.0   6.7   1   1   5   6   6   6   3 TSA: Cerobasis guestfalica breed wildtype s1362_L_916_4_a_99_0_l_3670, transcribed RNA sequence
GDEA01039845.1_5     -          LOTUS_CONSENSUS      -             0.0027   21.9   0.7     0.005   21.1   0.7   1.4   1   0   0   1   1   1   1 TSA: Cerobasis guestfalica breed wildtype s22251_L_32222_0_a_102_3_l_735, transcribed RNA sequence
GDEA01020745.1_6     -          LOTUS_CONSENSUS      -               0.71   14.2   0.0       1.3   13.4   0.0   1.4   1   0   0   1   1   1   0 TSA: Cerobasis guestfalica breed wildtype C336575_a_7_0_l_512, transcribed RNA sequence
GDEA01033155.1_2     -          LOTUS_CONSENSUS      -               0.79   14.0   3.1        25    9.3   0.1   3.0   3   1   0   3   3   3   0 TSA: Cerobasis guestfalica breed wildtype s16224_L_16983_1_a_6_8_l_1137, transcribed RNA sequence
GDEA01021298.1_2     -          LOTUS_CONSENSUS      -                1.1   13.6   0.1       4.1   11.7   0.0   1.8   2   0   0   2   2   2   0 TSA: Cerobasis guestfalica breed wildtype C339123_a_6_0_l_545, transcribed RNA sequence
GDEA01033667.1_1     -          LOTUS_CONSENSUS      -                1.4   13.3   0.0   4.8e+02    5.1   0.0   3.2   3   0   0   3   3   3   0 TSA: Cerobasis guestfalica breed wildtype s16687_L_17828_1_a_23_5_l_2187, transcribed RNA sequence
GDEA01024597.1_5     -          LOTUS_CONSENSUS      -                1.4   13.2   0.0       2.6   12.4   0.0   1.4   1   0   0   1   1   1   0 TSA: Cerobasis guestfalica breed wildtype C355769_a_26_0_l_980, transcribed RNA sequence
GDEA01020626.1_6     -          LOTUS_CONSENSUS      -                3.1   12.1   3.4       8.7   10.7   0.3   2.6   1   1   2   3   3   3   0 TSA: Cerobasis guestfalica breed wildtype C336017_a_7_0_l_506, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEA01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDEA01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEA01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 01:04:13 2019
# [ok]
