#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCWT01054818.1_3     -          OSK_CONSENSUS        -            9.8e-24   88.0   0.0   1.7e-23   87.2   0.0   1.3   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s6799_L_11990_0_29_1_BUBBLE, transcribed RNA sequence
GCWT01035987.1_1     -          OSK_CONSENSUS        -            3.8e-07   34.1   0.1   9.3e-07   32.8   0.1   1.6   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s108_L_119_1_6_5_COMPLEX, transcribed RNA sequence
GCWT01048688.1_4     -          OSK_CONSENSUS        -            6.8e-07   33.3   0.9   1.3e-06   32.4   0.9   1.5   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s22351_L_70889_0_5_1_LINEAR, transcribed RNA sequence
GCWT01043145.1_3     -          OSK_CONSENSUS        -            1.2e-06   32.4   0.0   1.8e-06   31.9   0.0   1.2   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s17354_L_45331_0_5_0_LINEAR, transcribed RNA sequence
GCWT01026082.1_2     -          OSK_CONSENSUS        -            1.3e-05   29.1   0.4     2e-05   28.5   0.2   1.4   2   0   0   2   2   2   1 TSA: Agallia constricta breed wildtype C492668_3_0, transcribed RNA sequence
GCWT01001093.1_2     -          OSK_CONSENSUS        -            3.9e-05   27.6   0.1   4.2e-05   27.4   0.1   1.0   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype C394882_2_0, transcribed RNA sequence
GCWT01036112.1_4     -          OSK_CONSENSUS        -             0.0004   24.2   0.0   0.00059   23.7   0.0   1.2   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s11011_L_22435_0_4_7_LINEAR, transcribed RNA sequence
GCWT01019659.1_1     -          OSK_CONSENSUS        -             0.0091   19.8   0.1      0.01   19.7   0.1   1.0   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype C463840_3_0, transcribed RNA sequence
GCWT01007531.1_4     -          OSK_CONSENSUS        -             0.0095   19.8   0.0    0.0095   19.8   0.0   1.0   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype C417026_2_0, transcribed RNA sequence
GCWT01044719.1_1     -          OSK_CONSENSUS        -              0.048   17.5   0.0     0.067   17.0   0.0   1.2   1   0   0   1   1   1   0 TSA: Agallia constricta breed wildtype s18773_L_51767_0_3_0_LINEAR, transcribed RNA sequence
GCWT01048616.1_2     -          OSK_CONSENSUS        -               0.08   16.8   0.2      0.08   16.8   0.2   2.5   2   0   0   2   2   1   0 TSA: Agallia constricta breed wildtype s22287_L_70507_0_10_9_LINEAR, transcribed RNA sequence
GCWT01029480.1_2     -          OSK_CONSENSUS        -               0.15   15.9   0.8      0.24   15.2   0.1   1.7   2   0   0   2   2   2   0 TSA: Agallia constricta breed wildtype C509562_4_0, transcribed RNA sequence
GCWT01005142.1_3     -          OSK_CONSENSUS        -               0.55   14.0   0.1       0.6   13.9   0.1   1.0   1   0   0   1   1   1   0 TSA: Agallia constricta breed wildtype C408726_5_0, transcribed RNA sequence
GCWT01028946.1_3     -          OSK_CONSENSUS        -               0.71   13.7   0.1      0.96   13.3   0.1   1.1   1   0   0   1   1   1   0 TSA: Agallia constricta breed wildtype C506768_4_0, transcribed RNA sequence
GCWT01049287.1_3     -          OSK_CONSENSUS        -               0.84   13.5   1.0        41    8.0   0.0   2.4   2   0   0   2   2   2   0 TSA: Agallia constricta breed wildtype s22891_L_74574_0_12_0_LINEAR, transcribed RNA sequence
GCWT01024695.1_1     -          OSK_CONSENSUS        -                3.1   11.6   0.0       3.4   11.5   0.0   1.3   1   0   0   1   1   1   0 TSA: Agallia constricta breed wildtype C485962_4_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWT01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCWT01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWT01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:46:21 2019
# [ok]
