,TaxId,Species,FamilyId,FamilyName,OrderId,OrderName,TSA,BioProject_id,Publication(PMID/DOI)
54,1281973,Proasellus grafi,63227,Asellidae,29979,Isopoda,HAEX,PRJEB14193,
55,1281974,Proasellus granadensis,63227,Asellidae,29979,Isopoda,HAEY,PRJEB14193,
56,1281977,Proasellus hercegovinensis,63227,Asellidae,29979,Isopoda,HAEZ,PRJEB14193,
57,1281981,Proasellus ibericus,63227,Asellidae,29979,Isopoda,HAFA,PRJEB14193,
58,1281986,Proasellus jaloniacus,63227,Asellidae,29979,Isopoda,HAFB,PRJEB14193,
59,1281987,Proasellus karamani,63227,Asellidae,29979,Isopoda,HAFC,PRJEB14193,
60,1281998,Proasellus margalefi,63227,Asellidae,29979,Isopoda,HAFD,PRJEB14193,
61,1282001,Proasellus meridianus,63227,Asellidae,29979,Isopoda,HAFE,PRJEB14193,
62,1282012,Proasellus ortizi,63227,Asellidae,29979,Isopoda,HAFF,PRJEB14193,
63,1282015,Proasellus parvulus,63227,Asellidae,29979,Isopoda,HAFG,PRJEB14193,
64,1282023,Proasellus racovitzai,63227,Asellidae,29979,Isopoda,HAFH,PRJEB14193,
65,1282025,Proasellus rectus,63227,Asellidae,29979,Isopoda,HAFI,PRJEB14193,
66,1282031,Proasellus solanasi,63227,Asellidae,29979,Isopoda,HAFJ,PRJEB14193,
67,1282033,Proasellus spelaeus,63227,Asellidae,29979,Isopoda,HAFK,PRJEB14193,
68,1281946,Proasellus beticus,63227,Asellidae,29979,Isopoda,HAFL,PRJEB14193,
69,52641,Gammarus pulex,36939,Gammaridae,6821,Amphipoda,HAFM,PRJEB13055,27222807
70,27404,Daphnia galeata,77658,Daphniidae,84337,Diplostraca,HAFN,PRJEB14950,
71,293153,Caridina multidentata,96235,Atyidae,6683,Decapoda,IABX,PRJDB4543,
72,142080,Ligia exotica,96854,Ligiidae,29979,Isopoda,IABZ,PRJDB4544,
73,1049545,Neomysis awatschensis,79901,Mysidae,75399,Mysida,GDFV,PRJNA287057,
74,1133412,Tigriopus kingsejongensis,512265,Harpacticidae,41212,Harpacticoida,GDFW,PRJNA283925,
75,35525,Daphnia magna,77658,Daphniidae,84337,Diplostraca,GDIP,PRJNA284518,
76,35525,Daphnia magna,77658,Daphniidae,84337,Diplostraca,GDIQ,PRJNA284518,
77,92525,Asellus aquaticus,63227,Asellidae,29979,Isopoda,GDKY,PRJNA270761,25407802
78,85551,Scylla olivacea,6757,Portunidae,6683,Decapoda,GDRN,PRJNA289610,
79,6689,Litopenaeus vannamei,6685,Penaeidae,6683,Decapoda,GDTK,PRJNA294021,
80,191375,Talitrus saltator,92169,Talitridae,6821,Amphipoda,GDUJ,PRJNA297565,
81,6689,Litopenaeus vannamei,6685,Penaeidae,6683,Decapoda,GDUV,PRJNA293148,
82,88015,Eurytemora affinis,88013,Temoridae,6833,Calanoida,GEAN,PRJNA278152,
83,6706,Homarus americanus,6704,Nephropidae,6683,Decapoda,GEBG,PRJNA300643,26716450
84,6715,Astacus astacus,6713,Astacidae,6683,Decapoda,GEDF,PRJNA302843,
85,6687,Penaeus monodon,6685,Penaeidae,6683,Decapoda,GEEP,PRJNA267515,
86,39395,Cancer borealis,6753,Cancridae,6683,Decapoda,GEFB,PRJNA310325,
87,910319,Palaemon argentinus,6695,Palaemonidae,6683,Decapoda,GEFN,PRJNA309860,
88,95602,Eriocheir sinensis,72876,Varunidae,6683,Decapoda,GEFT,PRJNA310144,
89,294128,Hyalella azteca,199477,Hyalellidae,6821,Amphipoda,GEHV,PRJNA312414,
90,1048741,Triops newberryi,63729,Triopsidae,58774,Notostraca,GEHY,PRJNA315010,
91,6763,Callinectes sapidus,6757,Portunidae,6683,Decapoda,GEID,PRJNA315576,
92,6687,Penaeus monodon,6685,Penaeidae,6683,Decapoda,GEME,PRJNA267515,
93,1842084,Oxyacanthus curtus,315608,Acanthogammaridae,6821,Amphipoda,GEPA,PRJNA321360,
94,75813,Oxyacanthus flavus,315608,Acanthogammaridae,6821,Amphipoda,GEPB,PRJNA321360,
95,1097446,Oxyacanthus sowinskii,315608,Acanthogammaridae,6821,Amphipoda,GEPC,PRJNA321360,
96,686699,Brachyuropus grewingkii,315608,Acanthogammaridae,6821,Amphipoda,GEPD,PRJNA321360,
97,86500,Acanthogammarus godlewskii,315608,Acanthogammaridae,6821,Amphipoda,GEPE,PRJNA321360,
98,686700,Cornugammarus maximus,315608,Acanthogammaridae,6821,Amphipoda,GEPF,PRJNA321360,
99,52942,Boeckaxelia carpenterii,315608,Acanthogammaridae,6821,Amphipoda,GEPG,PRJNA321360,
100,75816,Boeckaxelia potanini,315608,Acanthogammaridae,6821,Amphipoda,GEPH,PRJNA321360,
101,65453,Baikalogammarus pullus,315681,Baikalogammaridae,6821,Amphipoda,GEPI,PRJNA321360,
102,65444,Brandtia latissima,315608,Acanthogammaridae,6821,Amphipoda,GEPJ,PRJNA321360,
103,1842064,Asprogammarus rhodophthalmus,315608,Acanthogammaridae,6821,Amphipoda,GEPK,PRJNA321360,
104,1842057,Carinurus bicarinatus,315608,Acanthogammaridae,6821,Amphipoda,GEPL,PRJNA321360,
105,1842058,Crypturopus inflatus,315599,Micruropodidae,6821,Amphipoda,GEPM,PRJNA321360,
106,1842059,Echiuropus macronychus,315608,Acanthogammaridae,6821,Amphipoda,GEPN,PRJNA321360,
107,1842060,Eucarinogammarus wagii,315608,Acanthogammaridae,6821,Amphipoda,GEPO,PRJNA321360,
108,1842065,Sluginella kietlinskii,315662,Eulimnogammaridae,6821,Amphipoda,GEPP,PRJNA321360,
109,1842066,Eulimnogammarus similis,315662,Eulimnogammaridae,6821,Amphipoda,GEPQ,PRJNA321360,
110,1842068,Heterogammarus sophianosii,315662,Eulimnogammaridae,6821,Amphipoda,GEPR,PRJNA321360,
111,52945,Eulimnogammarus cyaneus,315662,Eulimnogammaridae,6821,Amphipoda,GEPS,PRJNA321360,
112,1156151,Eulimnogammarus marituji,315662,Eulimnogammaridae,6821,Amphipoda,GEPT,PRJNA321360,
113,315587,Eulimnogammarus viridulus,315662,Eulimnogammaridae,6821,Amphipoda,GEPU,PRJNA321360,
114,58370,Eulimnogammarus vittatus,315662,Eulimnogammaridae,6821,Amphipoda,GEPV,PRJNA321360,
115,75818,Eulimnogammarus cruentus,315662,Eulimnogammaridae,6821,Amphipoda,GEPW,PRJNA321360,
116,75818,Eulimnogammarus cruentus,315662,Eulimnogammaridae,6821,Amphipoda,GEPX,PRJNA321360,
117,1842061,Eulimnogammarus czerskii,315662,Eulimnogammaridae,6821,Amphipoda,GEPY,PRJNA321360,
118,1842062,Eulimnogammarus messerschmidtii,315662,Eulimnogammaridae,6821,Amphipoda,GEPZ,PRJNA321360,
119,1842044,Eulimnogammarus sp,315662,Eulimnogammaridae,6821,Amphipoda,GEQA,PRJNA321360,
120,1842045,Eulimnogammarus sp,315662,Eulimnogammaridae,6821,Amphipoda,GEQB,PRJNA321360,
121,36941,Eulimnogammarus verrucosus,315662,Eulimnogammaridae,6821,Amphipoda,GEQC,PRJNA321360,
122,1842069,Garjajewia dershawini,315608,Acanthogammaridae,6821,Amphipoda,GEQD,PRJNA321360,
123,686704,Gmelinoides fasciatus,315599,Micruropodidae,6821,Amphipoda,GEQE,PRJNA321360,
124,1842070,Hyalellopsis carinata,315608,Acanthogammaridae,6821,Amphipoda,GEQF,PRJNA321360,
125,1842071,Hyalellopsis costata,315608,Acanthogammaridae,6821,Amphipoda,GEQG,PRJNA321360,
126,1842072,Hyalellopsis grisea,315608,Acanthogammaridae,6821,Amphipoda,GEQH,PRJNA321360,
127,1842073,Hyalellopsis setosa,315608,Acanthogammaridae,6821,Amphipoda,GEQI,PRJNA321360,
128,1842074,Hyalellopsis stebbingi,315608,Acanthogammaridae,6821,Amphipoda,GEQJ,PRJNA321360,
129,65455,Macrohectopus branickii,315682,Macrohectopidae,6821,Amphipoda,GEQK,PRJNA321360,
130,1842075,Macropereiopus wagneri,315662,Eulimnogammaridae,6821,Amphipoda,GEQL,PRJNA321360,
131,1842076,Macropereiopus parvus,315662,Eulimnogammaridae,6821,Amphipoda,GEQM,PRJNA321360,
132,315602,Micruropus glaber,315599,Micruropodidae,6821,Amphipoda,GEQN,PRJNA321360,
133,1842063,Micruropus parvulus,315599,Micruropodidae,6821,Amphipoda,GEQO,PRJNA321360,
134,686708,Micruropus wahlii,315599,Micruropodidae,6821,Amphipoda,GEQP,PRJNA321360,
135,65461,Odontogammarus calcaratus,315662,Eulimnogammaridae,6821,Amphipoda,GEQQ,PRJNA321360,
136,315607,Ommatogammarus albinus,315662,Eulimnogammaridae,6821,Amphipoda,GEQR,PRJNA321360,
137,75829,Ommatogammarus flavus,315662,Eulimnogammaridae,6821,Amphipoda,GEQS,PRJNA321360,
138,1842083,Pachyschesis branchialis,315696,Pachyschesidae,6821,Amphipoda,GEQT,PRJNA321360,
139,1842083,Pachyschesis branchialis,315696,Pachyschesidae,6821,Amphipoda,GEQU,PRJNA321360,
140,1842078,Pentagonurus dawydowi,315689,Pallaseidae,6821,Amphipoda,GEQV,PRJNA321360,
141,86506,Palicarinus puzyllii,315608,Acanthogammaridae,6821,Amphipoda,GEQW,PRJNA321360,
142,315710,Pallasea cancelloides,315689,Pallaseidae,6821,Amphipoda,GEQX,PRJNA321360,
143,686709,Pallaseopsis kessleri,315689,Pallaseidae,6821,Amphipoda,GEQY,PRJNA321360,
144,1842046,Pallasea sp,315689,Pallaseidae,6821,Amphipoda,GEQZ,PRJNA321360,
145,1842081,Pandorites podoceroides,315623,Pontogammaridae,6821,Amphipoda,GERA,PRJNA321360,
146,1842079,Parapallasea wosnessenskii,315608,Acanthogammaridae,6821,Amphipoda,GERB,PRJNA321360,
147,315702,Eulimnogammarus testaceus,315662,Eulimnogammaridae,6821,Amphipoda,GERC,PRJNA321360,
148,52639,Gammarus lacustris,36939,Gammaridae,6821,Amphipoda,GERD,PRJNA321360,
149,1842077,Homalogammarus brandtii,315689,Pallaseidae,6821,Amphipoda,GERE,PRJNA321360,
150,315710,Pallasea cancelloides,315689,Pallaseidae,6821,Amphipoda,GERF,PRJNA321360,
151,686705,Linevichella vortex,315599,Micruropodidae,6821,Amphipoda,GERH,PRJNA321360,
152,52949,Pallasea cancellus,315689,Pallaseidae,6821,Amphipoda,GERI,PRJNA321360,
153,52950,Pallasea grubei,315689,Pallaseidae,6821,Amphipoda,GERJ,PRJNA321360,
154,315711,Parapallasea borowskii,315608,Acanthogammaridae,6821,Amphipoda,GERK,PRJNA321360,
155,315614,Poekilogammarus pictoides,315608,Acanthogammaridae,6821,Amphipoda,GERL,PRJNA321360,
156,6832,Tigriopus californicus,512265,Harpacticidae,41212,Harpacticoida,GBSZ,PRJNA263967,
157,6832,Tigriopus californicus,512265,Harpacticidae,41212,Harpacticoida,GBTC,PRJNA263967,
158,95602,Eriocheir sinensis,72876,Varunidae,6683,Decapoda,GBUF,PRJNA264349,25460100
159,6759,Carcinus maenas,1343471,Carcinidae,6683,Decapoda,GBXE,PRJNA255867,26076827
160,113644,Calanus glacialis,6835,Calanidae,6833,Calanoida,GBXT,PRJNA237014,
161,6837,Calanus finmarchicus,6835,Calanidae,6833,Calanoida,GBXU,PRJNA236983,
162,6720,Pacifastacus leniusculus,6713,Astacidae,6683,Decapoda,GBYW,PRJNA259594,
163,95602,Eriocheir sinensis,72876,Varunidae,6683,Decapoda,GBZW,PRJNA259036,26095804
164,158387,Tigriopus japonicus,512265,Harpacticidae,41212,Harpacticoida,GCHA,PRJNA274317,26024611
165,565004,Paracyclopina nana,564998,Cyclopettidae,84308,Cyclopoida,GCJT,PRJNA268783,26001055
166,159736,Macrobrachium nipponense,6695,Palaemonidae,6683,Decapoda,GCVG,PRJNA278700,
167,6689,Litopenaeus vannamei,6685,Penaeidae,6683,Decapoda,GCVY,PRJNA77889,DOI: 10.1111/j.1365-2109.2011.02956.x
