#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
HAFL01112690.1_4     -          LOTUS_CONSENSUS      -              3e-12   52.7   3.8   2.7e-10   46.5   0.2   3.0   2   0   0   2   2   2   1 TSA: Proasellus beticus, contig comp95442_c0_seq12, transcribed RNA sequence
HAFL01114465.1_3     -          LOTUS_CONSENSUS      -            2.4e-09   43.4  10.1   1.4e-08   41.0   0.6   3.8   4   0   0   4   4   3   1 TSA: Proasellus beticus, contig comp95571_c0_seq1, transcribed RNA sequence
HAFL01195035.1_3     -          LOTUS_CONSENSUS      -            2.6e-08   40.1   0.0   0.00049   26.4   0.0   2.5   2   0   0   2   2   2   2 TSA: Proasellus beticus, contig comp1203700_c0_seq1, transcribed RNA sequence
HAFL01188454.1_3     -          LOTUS_CONSENSUS      -              0.034   20.5   0.2     0.082   19.3   0.1   1.8   1   1   0   1   1   1   0 TSA: Proasellus beticus, contig comp2365675_c0_seq1, transcribed RNA sequence
HAFL01047944.1_1     -          LOTUS_CONSENSUS      -              0.057   19.8   0.0   7.6e+02    6.6   0.0   5.1   2   1   2   4   4   4   0 TSA: Proasellus beticus, contig comp96860_c0_seq15, transcribed RNA sequence
HAFL01047938.1_1     -          LOTUS_CONSENSUS      -              0.081   19.3   0.0   7.9e+02    6.5   0.0   5.0   2   1   1   4   4   3   0 TSA: Proasellus beticus, contig comp96860_c0_seq9, transcribed RNA sequence
HAFL01047939.1_3     -          LOTUS_CONSENSUS      -               0.11   18.8   0.1   9.1e+02    6.3   0.0   5.0   2   1   1   4   4   3   0 TSA: Proasellus beticus, contig comp96860_c0_seq10, transcribed RNA sequence
HAFL01047940.1_3     -          LOTUS_CONSENSUS      -               0.15   18.4   0.1   9.7e+02    6.2   0.0   4.9   2   1   1   4   4   3   0 TSA: Proasellus beticus, contig comp96860_c0_seq11, transcribed RNA sequence
HAFL01047936.1_1     -          LOTUS_CONSENSUS      -               0.18   18.2   0.0     1e+03    6.2   0.0   4.8   2   1   1   4   4   3   0 TSA: Proasellus beticus, contig comp96860_c0_seq7, transcribed RNA sequence
HAFL01171597.1_6     -          LOTUS_CONSENSUS      -               0.25   17.7   0.1      0.38   17.2   0.1   1.5   1   0   0   1   1   1   0 TSA: Proasellus beticus, contig comp143735_c0_seq1, transcribed RNA sequence
HAFL01047951.1_3     -          LOTUS_CONSENSUS      -               0.31   17.4   0.1   1.2e+03    5.9   0.0   4.7   2   1   1   4   4   3   0 TSA: Proasellus beticus, contig comp96860_c0_seq22, transcribed RNA sequence
HAFL01047932.1_1     -          LOTUS_CONSENSUS      -               0.34   17.3   0.1   1.3e+03    5.9   0.0   4.8   2   1   1   4   4   3   0 TSA: Proasellus beticus, contig comp96860_c0_seq3, transcribed RNA sequence
HAFL01047947.1_1     -          LOTUS_CONSENSUS      -               0.41   17.0   0.0   1.4e+03    5.7   0.0   4.7   2   1   0   4   4   3   0 TSA: Proasellus beticus, contig comp96860_c0_seq18, transcribed RNA sequence
HAFL01047935.1_1     -          LOTUS_CONSENSUS      -               0.72   16.3   0.1     8e+02    6.5   0.0   4.6   2   1   0   3   3   2   0 TSA: Proasellus beticus, contig comp96860_c0_seq6, transcribed RNA sequence
HAFL01077131.1_5     -          LOTUS_CONSENSUS      -               0.76   16.2   0.2       0.9   16.0   0.2   1.1   1   0   0   1   1   1   0 TSA: Proasellus beticus, contig comp4768755_c0_seq1, transcribed RNA sequence
HAFL01037131.1_6     -          LOTUS_CONSENSUS      -                  1   15.8   0.5         3   14.3   0.5   1.8   1   0   0   1   1   1   0 TSA: Proasellus beticus, contig comp100325_c1_seq13, transcribed RNA sequence
HAFL01056148.1_2     -          LOTUS_CONSENSUS      -                  3   14.3   0.0   2.2e+02    8.3   0.0   2.2   2   0   0   2   2   2   0 TSA: Proasellus beticus, contig comp872439_c0_seq1, transcribed RNA sequence
HAFL01129635.1_1     -          LOTUS_CONSENSUS      -                3.5   14.1   0.5        18   11.7   0.5   1.8   1   1   1   2   2   2   0 TSA: Proasellus beticus, contig comp75250_c0_seq2, transcribed RNA sequence
HAFL01167400.1_1     -          LOTUS_CONSENSUS      -                5.7   13.4   0.4       6.6   13.2   0.4   1.2   1   0   0   1   1   1   0 TSA: Proasellus beticus, contig comp3206741_c0_seq1, transcribed RNA sequence
HAFL01131350.1_1     -          LOTUS_CONSENSUS      -                  7   13.1   0.0       8.8   12.8   0.0   1.1   1   0   0   1   1   1   0 TSA: Proasellus beticus, contig comp2900491_c0_seq1, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_HAFL.1.fasta
# Option settings: /home/lblondel/Software/hmmer-3.1b2-linux-intel-x86_64/binaries/hmmsearch --tblout /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_RESULT/HAFL.1_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_HAFL.1.fasta 
# Current dir:     /home/savy/Oskar_Orthologs/01_Oskar_identification
# Date:            Sat Nov  2 13:00:38 2019
# [ok]
