,index,id,tax_id,species,family_name,order_name,source
82,82,GHFO00000000.1,30195,Bombus terrestris,Apidae,Hymenoptera,TSA
83,83,GHFX00000000.1,185587,Osmia cornuta,Megachilidae,Hymenoptera,TSA
84,84,GCGW00000000.1,1572531,Ortholfersia macleayi,Hippoboscidae,Diptera,TSA
85,85,GCNB00000000.1,1572540,Stomorhina subapicalis,Rhiniidae,Diptera,TSA
86,86,GCGA00000000.1,1572521,Lispe sydneyensis,Muscidae,Diptera,TSA
87,87,GCFN00000000.1,116148,Mesembrina meridiana,Muscidae,Diptera,TSA
88,88,GCFF00000000.1,27454,Calliphora vomitoria,Calliphoridae,Diptera,TSA
89,89,GCGM00000000.1,1321409,Penicillidia dufourii,Nycteribiidae,Diptera,TSA
90,90,GCFC00000000.1,1572552,Eustalomyia vittipes,Anthomyiidae,Diptera,TSA
91,91,GCMA00000000.1,1572554,Euthera bicolor,Tachinidae,Diptera,TSA
92,92,GCLX00000000.1,1572517,Cuterebra austeni,Oestridae,Diptera,TSA
93,93,GHDK00000000.1,109024,Laupala cerasina,Gryllidae,Orthoptera,TSA
94,94,GGNH00000000.1,108931,Nilaparvata lugens,Delphacidae,Hemiptera,TSA
95,95,GHEU00000000.1,2490487,Coenosia sp. anthr013,Muscidae,Diptera,TSA
96,96,GHFF00000000.1,2489099,Cordilura sp. cordr014,Scathophagidae,Diptera,TSA
97,97,GHFE00000000.1,2489096,Schoenomyza sp. heca017,Muscidae,Diptera,TSA
98,98,GHEZ00000000.1,307205,Fannia canicularis,Fanniidae,Diptera,TSA
99,99,GHFA00000000.1,95463,Scathophaga stercoraria,Scathophagidae,Diptera,TSA
100,100,GHEX00000000.1,2489095,Pollenia sp. poln016,Calliphoridae,Diptera,TSA
101,101,GHEY00000000.1,2489098,Gymnoprosopa sp. milt015,Sarcophagidae,Diptera,TSA
102,102,GHEH00000000.1,89055,Thermobia domestica,Lepismatidae,Zygentoma,TSA
103,103,GDYJ00000000.1,1661816,Balta vilis,Ectobiidae,Blattodea,TSA
104,104,GDXP00000000.1,36981,Shelfordella lateralis,Blattidae,Blattodea,TSA
105,105,GDYD00000000.1,1661484,Tivia sp. AD-2015,Corydiidae,Blattodea,TSA
106,106,GDYE00000000.1,1661525,Ellipsidion sp. AD-2015,Ectobiidae,Blattodea,TSA
107,107,GDZF00000000.1,1661876,Eucorydia yasumatsui,Corydiidae,Blattodea,TSA
108,108,GDYK00000000.1,242713,Loboptera decipiens,Ectobiidae,Blattodea,TSA
109,109,GDVA00000000.1,127387,Reticulitermes santonensis,Rhinotermitidae,Blattodea,TSA
110,110,GDYC00000000.1,1661824,Episymploce sundaica,Ectobiidae,Blattodea,TSA
111,111,GDZI00000000.1,103000,Paratemnopteryx couloniana,Ectobiidae,Blattodea,TSA
112,112,GDWW00000000.1,1661869,Asiablatta kyotensis,Ectobiidae,Blattodea,TSA
113,113,GEAA00000000.1,1661865,Anallacta methanoides,Ectobiidae,Blattodea,TSA
114,114,GDZY00000000.1,1661828,Euthlastoblatta diaphana,Ectobiidae,Blattodea,TSA
115,115,GDWU00000000.1,83902,Supella longipalpa,Ectobiidae,Blattodea,TSA
116,116,GDVQ00000000.1,1661856,Therea bernhardti,Corydiidae,Blattodea,TSA
117,117,GDZE00000000.1,1661477,Nyctibora sp. AD-2015,Ectobiidae,Blattodea,TSA
118,118,GDYS00000000.1,303877,Eurycotis floridana,Blattidae,Blattodea,TSA
119,119,GDYB00000000.1,1661476,Nocticola sp. AD-2015,Nocticolidae,Blattodea,TSA
120,120,GDZH00000000.1,303918,Deropeltis erythrocephala,Blattidae,Blattodea,TSA
121,121,GDXG00000000.1,1661849,Princisia vanwaerebeki,Blaberidae,Blattodea,TSA
122,122,GDWV00000000.1,1554535,Tryonicus parvus,Tryonicidae,Blattodea,TSA
123,123,GDWT00000000.1,1661834,Methana parva,Blattidae,Blattodea,TSA
124,124,GDWQ00000000.1,36955,Panchlora nivea,Blaberidae,Blattodea,TSA
125,125,GDZZ00000000.1,63739,Lobopterella dimidiatipes,Ectobiidae,Blattodea,TSA
126,126,GDWJ00000000.1,7085,Polyphaga aegyptiaca,Corydiidae,Blattodea,TSA
127,127,GDEC00000000.1,1585295,Ischnoptera deropeltiformis,Ectobiidae,Blattodea,TSA
128,128,GDYG00000000.1,6984,Diploptera punctata,Blaberidae,Blattodea,TSA
129,129,GDZJ00000000.1,406578,Gyna lurida,Blaberidae,Blattodea,TSA
130,130,GDZD00000000.1,1661523,Cariblatta sp. AD-2015,Ectobiidae,Blattodea,TSA
131,131,GDUO00000000.1,1661473,Mantoida sp. AD-2015,Mantoididae,Mantodea,TSA
132,132,GDYP00000000.1,1080973,Ectobius sylvestris,Ectobiidae,Blattodea,TSA
133,133,GDUG00000000.1,1661464,Coptotermes sp. AD-2015,Rhinotermitidae,Blattodea,TSA
134,134,GGRH00000000.1,485574,Lampronia capitella,Prodoxidae,Lepidoptera,TSA
135,135,GGRG00000000.1,1876001,Rhyacophila nubila,Rhyacophilidae,Trichoptera,TSA
136,136,GDCR00000000.1,6973,Blattella germanica,Ectobiidae,Blattodea,TSA
137,137,GDCG00000000.1,1603009,Symploce sp. AD-2014,Ectobiidae,Blattodea,TSA
138,138,GDCF00000000.1,247159,Aularches miliaris,Pyrgomorphidae,Orthoptera,TSA
139,139,GDBO00000000.1,529878,Incisitermes marginipennis,Kalotermitidae,Blattodea,TSA
140,140,GDCK00000000.1,270842,Antipaluria urichi,Clothodidae,Embioptera,TSA
141,141,GDCJ00000000.1,1603030,Sundablatta sexpunctata,Ectobiidae,Blattodea,TSA
142,142,GCPS00000000.1,1080993,Lamproblatta albipalpus,Lamproblattidae,Blattodea,TSA
143,143,GCPR00000000.1,36965,Schultesia lampyridiformis,Blaberidae,Blattodea,TSA
144,144,GCPO00000000.1,444980,Popa spurca,Mantidae,Mantodea,TSA
145,145,GDBS00000000.1,76901,Ergaula capucina,Corydiidae,Blattodea,TSA
146,146,GDBT00000000.1,1603019,Stagmatoptera biocellata,Mantidae,Mantodea,TSA
147,147,GDBP00000000.1,552052,Protonemura ausonia,Nemouridae,Plecoptera,TSA
148,148,GDCU00000000.1,1603005,Hemimerus sp. AD-2014,Hemimeridae,Dermaptera,TSA
149,149,GDCL00000000.1,1603012,Brunneria borealis,Mantidae,Mantodea,TSA
150,150,GDCI00000000.1,6990,Nauphoeta cinerea,Blaberidae,Blattodea,TSA
151,151,GDCD00000000.1,1603015,Diapherodes gigantea,Phasmatidae,Phasmatodea,TSA
152,152,GDCE00000000.1,614091,Agamemnon cornutus,Pseudophasmatidae,Phasmatodea,TSA
153,153,GDCB00000000.1,146836,Proreus simulans,Chelisochidae,Dermaptera,TSA
154,154,GDBY00000000.1,1603017,Ptilocerembia catherinae,Ptilocerembiidae,Embioptera,TSA
155,155,GCPK00000000.1,267205,Hymenopus coronatus,Hymenopodidae,Mantodea,TSA
156,156,GCPJ00000000.1,1603032,Xya variegata,Tridactylidae,Orthoptera,TSA
157,157,GCPH00000000.1,1603026,Tirachoidea westwoodii,Phasmatidae,Phasmatodea,TSA
158,158,GCPF00000000.1,1603022,Cheddikulama straminea,Toxoderidae,Mantodea,TSA
159,159,GDBR00000000.1,1603024,Phaeophilacris bredoides,Phalangopsidae,Orthoptera,TSA
160,160,GDBN00000000.1,1603011,Brachyptera vera,Taeniopterygidae,Plecoptera,TSA
161,161,GCPE00000000.1,1603016,Nippancistroger testaceus,Gryllacrididae,Orthoptera,TSA
162,162,GDCH00000000.1,267208,Phyllocrania paradoxa,Hymenopodidae,Mantodea,TSA
163,163,GCPQ00000000.1,1603010,Acontista multicolor,Acanthopidae,Mantodea,TSA
164,164,GCPP00000000.1,1603008,Orthomeria sp. AD-2014,Aschiphasmatidae,Phasmatodea,TSA
165,165,GDCT00000000.1,1603014,Creoxylus spinosus,Pseudophasmatidae,Phasmatodea,TSA
166,166,GDCA00000000.1,76899,Catara rugosicollis,Blattidae,Blattodea,TSA
167,167,GDBZ00000000.1,609060,Apteroperla tikumana,Capniidae,Plecoptera,TSA
168,168,GDCS00000000.1,1603004,Diplatys sp. AD-2014,Diplatyidae,Dermaptera,TSA
169,169,GCPN00000000.1,270847,Orthodera novaezealandiae,Mantidae,Mantodea,TSA
170,170,GCPL00000000.1,119672,Creobroter pictipennis,Hymenopodidae,Mantodea,TSA
171,171,GCPM00000000.1,1133654,Phyllium philippinicum,Phylliidae,Phasmatodea,TSA
172,172,GDBX00000000.1,1603028,Rhagadochir virgo,Scelembiidae,Embioptera,TSA
173,173,GCPI00000000.1,146832,Gonolabis marginalis,Anisolabididae,Dermaptera,TSA
174,174,GDBW00000000.1,1603020,Tropidacris collaris,Romaleidae,Orthoptera,TSA
175,175,GDBV00000000.1,1603006,Mantophasma sp. AD-2014,Mantophasmatidae,Mantophasmatodea,TSA
176,176,GDBU00000000.1,614152,Trachyaretaon brueckneri,Heteropterygidae,Phasmatodea,TSA
177,177,GCPG00000000.1,470930,Diestrammena asynamora,Rhaphidophoridae,Orthoptera,TSA
178,178,GDCC00000000.1,1603018,Sipyloidea biplagiata,Lonchodidae,Phasmatodea,TSA
179,179,GDCQ00000000.1,1603007,Nemoura sp. AD-2014,Nemouridae,Plecoptera,TSA
180,180,GGPJ00000000.1,85310,Nezara viridula,Pentatomidae,Hemiptera,TSA
181,181,GFRL00000000.1,948398,Phyllomimus sinicus,Tettigoniidae,Orthoptera,TSA
182,182,GGIT00000000.1,483260,Phenacoccus solenopsis,Pseudococcidae,Hemiptera,TSA
183,183,GFUV00000000.1,129554,Anticarsia gemmatalis,Noctuidae,Lepidoptera,TSA
184,184,GGBU00000000.1,323751,Adelphocoris suturalis,Miridae,Hemiptera,TSA
185,185,GGBQ00000000.1,236346,Adelphocoris lineolatus,Miridae,Hemiptera,TSA
186,186,GGBO00000000.1,323752,Adelphocoris fasciaticollis,Miridae,Hemiptera,TSA
187,187,GCXO00000000.1,1585373,Ladella sp. AD-2014,Tropiduchidae,Hemiptera,TSA
188,188,GCYA00000000.1,56088,Limnoporus canaliculatus,Gerridae,Hemiptera,TSA
189,189,GCZE00000000.1,491322,Melanoliarus placitus,Cixiidae,Hemiptera,TSA
190,190,GCZJ00000000.1,340633,Unaspis euonymi,Diaspididae,Hemiptera,TSA
191,191,GCWP00000000.1,74065,Dalbulus maidis,Cicadellidae,Hemiptera,TSA
192,192,GCYZ00000000.1,1585305,Trichocorixa calva,Corixidae,Hemiptera,TSA
193,193,GCYF00000000.1,1594574,Nessorhinus gibberulus,Membracidae,Hemiptera,TSA
194,194,GCXV00000000.1,299257,Megacopta cribraria,Plataspidae,Hemiptera,TSA
195,195,GCWX00000000.1,1585299,Llanquihuea pilosa,Melizoderidae,Hemiptera,TSA
196,196,GCWR00000000.1,244443,Acrosternum hilare,Pentatomidae,Hemiptera,TSA
197,197,GCWG00000000.1,236421,Anasa tristis,Coreidae,Hemiptera,TSA
198,198,GCWK00000000.1,236416,Belostoma flumineum,Belostomatidae,Hemiptera,TSA
199,199,GCWT00000000.1,1585285,Agallia constricta,Cicadellidae,Hemiptera,TSA
200,200,GCZD00000000.1,1585307,Vidanoana flavomaculata,Cicadellidae,Hemiptera,TSA
201,201,GCWZ00000000.1,1585290,Ceroplastes cirripediformis,Coccidae,Hemiptera,TSA
202,202,GCYX00000000.1,121826,Trioza urticae,Triozidae,Hemiptera,TSA
203,203,GCZC00000000.1,87311,Uroleucon ambrosiae,Aphididae,Hemiptera,TSA
204,204,GCYY00000000.1,96551,Tuberolachnus salignus,Lachnidae,Hemiptera,TSA
205,205,GCWY00000000.1,209971,Echmepteryx hageni,Lepidopsocidae,Psocoptera,TSA
206,206,GCZM00000000.1,1291257,Cycadothrips chadwicki,Aeolothripidae,Thysanoptera,TSA
207,207,GCZG00000000.1,1610781,Peloridium pomponorum,Peloridiidae,Hemiptera,TSA
208,208,GCZA00000000.1,36667,Philaenus spumarius,Aphrophoridae,Hemiptera,TSA
209,209,GCZF00000000.1,1465165,Ponana quadralaba,Cicadellidae,Hemiptera,TSA
210,210,GCYC00000000.1,121851,Pachypsylla celtidismamma,Aphalaridae,Hemiptera,TSA
211,211,GCXN00000000.1,1585375,Mapuchea sp. AD-2014,Myerslopiidae,Hemiptera,TSA
212,212,GCXR00000000.1,1585298,Largus californicus,Largidae,Hemiptera,TSA
213,213,GCXS00000000.1,236398,Mesovelia mulsanti,Mesoveliidae,Hemiptera,TSA
214,214,GCXX00000000.1,1585298,Largus californicus,Largidae,Hemiptera,TSA
215,215,GCXL00000000.1,1585318,Jalysus sp. AD-2014,Berytidae,Hemiptera,TSA
216,216,GCWF00000000.1,130607,Bruchomorpha oculata,,Hemiptera,TSA
217,217,GCXC00000000.1,1585284,Acanalonia conica,Acanaloniidae,Hemiptera,TSA
218,218,GCWV00000000.1,38117,Dactylopius confusus,Dactylopiidae,Hemiptera,TSA
219,219,GCYT00000000.1,1585306,Trionymus caricis,Pseudococcidae,Hemiptera,TSA
220,220,GCYS00000000.1,1592895,Chalcocoris rutilans,Pentatomidae,Hemiptera,TSA
221,221,GCYP00000000.1,1190598,Rhagovelia obesa,Veliidae,Hemiptera,TSA
222,222,GCZK00000000.1,1585304,Stictocephala bisonia,Membracidae,Hemiptera,TSA
223,223,GCYW00000000.1,1585347,Psyllopsis fraxinicola,Liviidae,Hemiptera,TSA
224,224,GCZB00000000.1,1585283,Sehirus cinctus,Cydnidae,Hemiptera,TSA
225,225,GCYR00000000.1,133901,Frankliniella occidentalis,Thripidae,Thysanoptera,TSA
226,226,GCYN00000000.1,1585353,Anoplogonius nigricollis,Scutelleridae,Hemiptera,TSA
227,227,GCYK00000000.1,1010780,Reuteroscopus ornatus,Miridae,Hemiptera,TSA
228,228,GCYE00000000.1,1585322,Scutelleridae sp. AD-2014,Scutelleridae,Hemiptera,TSA
229,229,GCZI00000000.1,13262,Schizaphis graminum,Aphididae,Hemiptera,TSA
230,230,GCZH00000000.1,236423,Prociphilus tessellatus,Pemphigidae,Hemiptera,TSA
231,231,GCYJ00000000.1,139605,Prosapia bicincta,Cercopidae,Hemiptera,TSA
232,232,GCYD00000000.1,469707,Ptycta johnsoni,Psocidae,Psocoptera,TSA
233,233,GCYQ00000000.1,1585319,Phlaeothripidae sp. AD-2014,Phlaeothripidae,Thysanoptera,TSA
234,234,GCYI00000000.1,237174,Phymata pennsylvanica,Phymatidae,Hemiptera,TSA
235,235,GCYH00000000.1,1465156,Phylloscelis atra,Dictyopharidae,Hemiptera,TSA
236,236,GCXZ00000000.1,1585363,Idiosystatus acutiusculus,Delphacidae,Hemiptera,TSA
237,237,GCYM00000000.1,236326,Mezira granulata,Aradidae,Hemiptera,TSA
238,238,GCXU00000000.1,1592893,Pagasa sp. AD-2014,Nabidae,Hemiptera,TSA
239,239,GCXT00000000.1,1291281,Orothrips kelloggi,Aeolothripidae,Thysanoptera,TSA
240,240,GCYL00000000.1,83647,Orius insidiosus,Anthocoridae,Hemiptera,TSA
241,241,GCVW00000000.1,683869,Nabicula subcoleoptrata,Nabidae,Hemiptera,TSA
242,242,GCXY00000000.1,7536,Oncopeltus fasciatus,Lygaeidae,Hemiptera,TSA
243,243,GCXQ00000000.1,1585365,Macrohomotoma gladiata,Homotomidae,Hemiptera,TSA
244,244,GCYB00000000.1,1291711,Lygaeus turcicus,Lygaeidae,Hemiptera,TSA
245,245,GCXM00000000.1,50650,Lygus lineolaris,Miridae,Hemiptera,TSA
246,246,GCXK00000000.1,1244200,Chauliops fallax,Malcidae,Hemiptera,TSA
247,247,GCXH00000000.1,881479,Ischnodemus falicus,Blissidae,Hemiptera,TSA
248,248,GCXF00000000.1,1585300,Lopidea amorphae,Miridae,Hemiptera,TSA
249,249,GCXW00000000.1,1585361,Holdgatiella chepuensis,Membracidae,Hemiptera,TSA
250,250,GCXB00000000.1,121849,Heteropsylla cubana,Psyllidae,Hemiptera,TSA
251,251,GCYG00000000.1,1585349,Chondrodire chilensis,Dictyopharidae,Hemiptera,TSA
252,252,GCXI00000000.1,38104,Gelastocoris oculatus,Gelastocoridae,Hemiptera,TSA
253,253,GCXG00000000.1,1585359,Hespenedra chilensis,Cicadellidae,Hemiptera,TSA
254,254,GCWJ00000000.1,1585297,Lachesilla contraforcepeta,Lachesillidae,Psocoptera,TSA
255,255,GCWM00000000.1,1585316,Geocoris sp. AD-2014,Lygaeidae,Hemiptera,TSA
256,256,GCXD00000000.1,35641,Geomydoecus ewingi,Trichodectidae,Phthiraptera,TSA
257,257,GCWH00000000.1,1585371,Hoplitocoris sp. AD-2014,Enicocephalidae,Hemiptera,TSA
258,258,GCVV00000000.1,139595,Empoasca fabae,Cicadellidae,Hemiptera,TSA
259,259,GCWL00000000.1,1585282,Piezosternum calidum,Tessaratomidae,Hemiptera,TSA
260,260,GCWN00000000.1,1585369,Craspedorrhynchus sp. AD-2014,Philopteridae,Phthiraptera,TSA
261,261,GCXA00000000.1,1585293,Corimelaena lateralis,Thyreocoridae,Hemiptera,TSA
262,262,GCWQ00000000.1,1464866,Cyrpoptus belfragei,Fulgoridae,Hemiptera,TSA
263,263,GCWW00000000.1,1585313,Coccus sp. AD-2014,Coccidae,Hemiptera,TSA
264,264,GCWD00000000.1,135595,Campanulotes compar,Philopteridae,Phthiraptera,TSA
265,265,GCWC00000000.1,1255142,Boisea trivittata,Rhopalidae,Hemiptera,TSA
266,266,GCWB00000000.1,128991,Columbicola columbae,Philopteridae,Phthiraptera,TSA
267,267,GCVU00000000.1,340536,Chrysomphalus aonidum,Diaspididae,Hemiptera,TSA
268,268,GCWS00000000.1,1585312,Ceratocombus sp. AD-2014,Ceratocombidae,Hemiptera,TSA
269,269,GCXE00000000.1,1585289,Buenoa margaritacea,Notonectidae,Hemiptera,TSA
270,270,GCWE00000000.1,72517,Arilus cristatus,Reduviidae,Hemiptera,TSA
271,271,GCWA00000000.1,1585355,Aphelonotus fraterculus,Pachynomidae,Hemiptera,TSA
272,272,GCWO00000000.1,1585287,Aphalara polygoni,Aphalaridae,Hemiptera,TSA
273,273,GCVZ00000000.1,1585286,Alydus pilosus,Alydidae,Hemiptera,TSA
274,274,GCXJ00000000.1,1585280,Acutaspis umbonifera,Diaspididae,Hemiptera,TSA
275,275,GCWU00000000.1,1585310,Aclerda sp. AD-2014,Aclerdidae,Hemiptera,TSA
276,276,GDEM00000000.1,1585308,Xenophyes metoponcus,Peloridiidae,Hemiptera,TSA
277,277,GDFP00000000.1,121847,Glycaspis brimblecombei,Aphalaridae,Hemiptera,TSA
278,278,GDFL00000000.1,1585294,Elipsocus kuriliensis,Elipsocidae,Psocoptera,TSA
279,279,GDFN00000000.1,121845,Diaphorina citri,Liviidae,Hemiptera,TSA
280,280,GDFO00000000.1,95691,Aquarius paludum,Gerridae,Hemiptera,TSA
281,281,GDFC00000000.1,1585345,Neoblaste papillosa,Psocidae,Psocoptera,TSA
282,282,GDFI00000000.1,37000,Pyrrhocoris apterus,Pyrrhocoridae,Hemiptera,TSA
283,283,GDFA00000000.1,1545162,Metatropis rufescens,Berytidae,Hemiptera,TSA
284,284,GDFF00000000.1,1585357,Centrotus cornutus,Membracidae,Hemiptera,TSA
285,285,GDFJ00000000.1,696229,Lygaeus equestris,Lygaeidae,Hemiptera,TSA
286,286,GDFM00000000.1,297892,Franklinothrips vespiformis,Aeolothripidae,Thysanoptera,TSA
287,287,GDEZ00000000.1,1561047,Arocatus melanocephalus,Lygaeidae,Hemiptera,TSA
288,288,GDFE00000000.1,1585281,Caliscelis bonellii,,Hemiptera,TSA
289,289,GDFH00000000.1,1185500,Metcalfa pruinosa,Flatidae,Hemiptera,TSA
290,290,GDFG00000000.1,297922,Badonnelia titei,Sphaeropsocidae,Psocoptera,TSA
291,291,GDEV00000000.1,469694,Longivalvus nubilus,Psocidae,Psocoptera,TSA
292,292,GDDU00000000.1,1585301,Peripsocus phaeopterus,Peripsocidae,Psocoptera,TSA
293,293,GDDT00000000.1,297979,Mesopsocus unipunctatus,Mesopsocidae,Psocoptera,TSA
